date,universe_n,held_pre,bought,sold,cash_pct
2016-06-02,10,0,10,0,1.3976938446011518
2016-07-01,10,6,4,0,1.8208008720194975
2016-08-01,10,6,4,0,1.7668112482558247
2016-09-01,10,3,7,0,0.07943701889010645
2016-10-03,10,6,4,0,0.06937603576604869
2016-11-01,10,5,5,0,0.0521969865951562
2016-12-01,10,4,6,0,0.04556786364069669
2017-01-02,10,3,6,0,5.386412232217787
2017-02-01,10,1,8,0,8.417264230349614
2017-03-01,10,4,5,0,4.800879683278779
2017-04-03,10,6,3,0,6.0528508534391126
2017-05-02,10,7,1,0,14.764161328230626
2017-06-01,10,6,2,0,14.054903779072934
2017-07-03,10,4,6,0,0.032633878081604485
2017-08-01,10,6,4,0,0.02637350037077345
2017-09-01,10,6,4,0,0.015932992126467278
2017-10-03,10,7,3,0,0.06890882960771731
2017-11-01,10,5,4,0,1.3139908721868854
2017-12-01,10,7,3,0,0.006065070027774614
2018-01-01,10,8,2,0,0.0824976138982062
2018-02-01,10,4,6,0,0.07006276461842433
2018-03-01,10,1,9,0,0.07794358347156902
2018-04-02,10,3,7,0,0.059702069777208724
2018-05-02,10,2,8,0,1.1987888655082826
2018-06-01,10,4,6,0,0.08341771708043959
2018-07-02,10,4,4,0,19.354570822595925
2018-08-01,10,3,6,0,8.665173998430037
2018-09-03,10,6,3,0,9.526041610773932
2018-10-01,10,2,7,1,9.07156473070647
2018-11-01,10,1,8,0,9.405241318655468
2018-12-03,10,1,9,0,1.7071266591973184
2019-01-01,10,7,3,0,0.9799944841973101
2019-02-01,10,7,3,0,0.10455632864148352
2019-03-01,10,4,5,0,9.542893264059039
2019-04-01,10,5,5,1,0.14302027519961896
2019-05-02,10,4,4,0,17.81737140291905
2019-06-03,10,6,4,0,0.3941211848285082
2019-07-01,10,5,5,0,0.11326179828133012
2019-08-01,10,0,10,0,1.572400511621854
2019-09-03,10,5,5,0,0.11130429308577296
2019-10-01,10,3,6,0,9.844578567159434
2019-11-01,10,5,4,0,10.780221558956313
2019-12-02,10,3,7,0,0.3383184053572987
2020-01-01,10,5,4,0,9.788461275365028
2020-02-03,10,5,5,0,0.08214276606157167
2020-03-02,10,3,7,0,0.0816638342935745
2020-04-01,3,0,3,0,70.97173804975222
2020-05-04,10,0,10,0,1.6228838911848817
2020-06-01,10,1,9,0,2.5612266424783656
2020-07-01,10,4,6,1,0.5466391499889239
2020-08-03,10,5,4,0,9.471853689298246
2020-09-01,10,6,3,0,8.6981294949742
2020-10-01,10,6,3,0,6.9154889604407215
2020-11-02,10,4,5,0,5.9546723111409525
2020-12-01,10,3,7,0,1.693422005846499
2021-01-01,10,5,5,0,0.0786122830604756
2021-02-01,10,5,4,0,8.249683525378563
2021-03-01,10,1,8,0,9.51744852068186
2021-04-01,10,2,8,0,0.8457515155555533
2021-05-03,10,3,7,0,1.1399613073372277
2021-06-01,10,3,7,0,1.787355146126056
2021-07-01,10,9,0,0,10.7327836395699
2021-08-02,10,3,6,0,9.686224379392774
2021-09-01,10,2,8,0,1.9192852011563992
2021-10-01,10,4,6,0,1.4419865513740826
2021-11-01,10,5,5,0,0.10925541869344473
2021-12-01,10,0,10,0,1.4511888365638543
2022-01-03,10,0,10,0,2.2764730635619004
2022-02-01,10,2,7,0,12.004117169399821
2022-03-02,10,1,9,0,0.20662936309355298
2022-04-01,10,0,10,0,2.33048755851119
2022-05-02,10,5,5,0,0.10337209297148768
2022-06-01,10,4,6,0,0.18165576694337002
2022-07-01,10,2,8,0,0.1720981456333466
2022-08-01,10,1,9,0,0.10013199955838989
2022-09-01,10,6,4,0,0.12742410914531138
2022-10-03,10,1,9,0,0.9365476964935002
2022-11-01,10,1,9,0,0.11314398615746338
2022-12-01,10,3,7,0,5.52037032638162
2023-01-02,10,2,7,0,10.579474940238743
2023-02-01,10,1,9,0,0.8059117597712973
2023-03-01,10,2,8,0,1.6447315297968075
2023-04-03,10,5,5,0,1.495954269047863
2023-05-02,10,4,6,0,1.7215182689825823
2023-06-01,10,4,5,0,9.822893450395252
2023-07-03,10,5,4,0,9.218112580189477
2023-08-01,10,5,5,0,0.06780725140084602
2023-09-01,10,4,6,0,0.3279211141840691
2023-10-03,10,6,4,0,3.19755055082555
2023-11-01,10,2,7,0,12.071604287030278
2023-12-01,10,2,8,0,2.6491672989498234
2024-01-01,10,6,4,0,7.955795793217001
2024-02-01,10,4,6,0,3.1413115737439092
2024-03-01,10,8,1,0,12.110396696156789
2024-04-01,10,6,3,0,10.979770684999549
2024-05-02,10,6,3,0,10.532186318217729
2024-06-03,10,5,4,0,6.3771643328409855
2024-07-01,10,2,8,0,0.0985653478879358
2024-08-01,10,8,2,0,0.07515468978848609
2024-09-02,10,7,2,0,5.668256518753697
2024-10-01,10,7,2,0,4.661456789156408
2024-11-01,10,0,10,0,1.5082689656091957
2024-12-02,10,2,7,0,9.926218828714099
2025-01-01,10,7,3,0,0.10465806074445058
2025-02-01,10,1,8,0,10.616535734079733
2025-03-03,8,1,7,1,20.615413156124276
2025-04-01,10,2,8,0,1.800600065259725
2025-05-02,10,4,6,0,1.7652665374021517
2025-06-02,10,4,6,0,0.17813016206806664
2025-07-01,10,7,3,0,0.45037787176077954
2025-08-01,10,0,10,0,2.3987311842188954
2025-09-01,10,4,6,0,1.3697168137770361
2025-10-01,10,2,7,0,10.550226683893586
2025-11-03,10,5,5,0,3.7104735145557397
2025-12-01,10,2,7,0,10.335628109725713
2026-01-01,10,6,2,0,18.215835948010362
2026-02-02,10,2,6,0,19.237700472006043
