symbol,sector,qty,avg_cost,last_mark,unrealized_pl_pct,entry_date,entry_score,peak_score,last_score
BSE,Financial Services,4,2503.501,3918.0,56.5008,2025-10-14,62.98,63.12,53.18
TIINDIA,Industrials,1,2543.541,2992.2,17.6391,2026-02-24,65.85,74.09,53.86
ADANIPOWER,Utilities,30,156.156,222.03,42.1847,2026-03-17,62.6,63.48,51.15
NTPCGREEN,Utilities,74,98.098,107.93,10.0226,2026-03-17,58.25,67.34,51.35
OLAELEC,Consumer Cyclical,291,24.024,36.97,53.8878,2026-03-24,57.6,82.62,69.02
TRENT,Consumer Cyclical,2,3822.0182,4181.1001,9.3951,2026-04-07,72.61,72.67,57.0
MOTILALOFS,Financial Services,13,812.5617,860.7,5.9243,2026-04-21,76.57,76.57,61.37
COCHINSHIP,Industrials,6,1683.682,1716.5,1.9492,2026-04-28,73.79,73.79,62.55
ABFRL,Consumer Cyclical,166,65.1151,64.99,-0.1921,2026-05-05,70.35,70.35,60.86
COFORGE,Technology,7,1374.7734,1374.7734,0.0,2026-05-12,71.26,71.26,71.26
