symbol,sector,entry_date,exit_date,holding_days,qty,entry_price,exit_price,gross_pl,entry_costs,exit_costs,tax_type,tax,net_pl,net_return_pct,entry_score,peak_score,exit_score,peak_price,exit_reason,slippage_bps
BDL,Industrials,2025-05-14,2025-05-20,6,5,1764.6629,1822.176,287.57,10.48,9.45,STCG,40.15,227.49,2.5783,71.19,71.19,63.47,1823.9,rotation: BDL(63.5) -> RVNL(81.3),10.0
WAAREEENER,Technology,2025-05-14,2025-05-27,13,3,2713.711,2810.087,289.13,9.67,8.74,STCG,40.61,230.11,2.8265,70.76,70.78,61.07,2948.3999,rotation: WAAREEENER(61.1) -> HUDCO(74.2),10.0
SONACOMS,Consumer Cyclical,2025-05-14,2025-06-03,20,19,517.517,539.5599,418.82,11.67,10.63,STCG,59.48,337.03,3.4276,69.6,69.6,56.94,545.0,rotation: SONACOMS(56.9) -> PRESTIGE(72.0),10.0
MOTILALOFS,Financial Services,2025-05-14,2025-06-10,27,3,726.776,897.3018,511.58,2.59,2.79,STCG,75.93,430.27,19.7341,72.76,72.76,61.65,893.7,scale_out_20: profit 23.0% AND score dropped 11.1pts (peak 72.8 -> 61.6),10.0
COCHINSHIP,Industrials,2025-05-14,2025-06-17,34,1,1641.64,2191.706,550.07,1.95,2.27,STCG,81.88,463.97,28.2624,73.4,78.47,67.58,2301.3,scale_out_20: profit 33.3% AND score dropped 10.9pts (peak 78.5 -> 67.6),10.0
RVNL,Industrials,2025-05-20,2025-06-17,28,23,440.44,409.59,-709.55,12.03,9.77,STCG,0.0,-731.35,-7.2195,81.33,81.33,57.89,440.44,hard_stop:HARD_STOP - HARD STOP: loss -7.0% <= -7% threshold,10.0
COCHINSHIP,Industrials,2025-05-14,2025-06-24,41,1,1641.64,2251.746,610.11,1.95,2.34,STCG,90.87,514.95,31.3679,73.4,78.47,68.41,2301.3,scale_out_20: profit 35.9% AND score dropped 10.1pts (peak 78.5 -> 68.4),10.0
ATGL,Utilities,2025-05-14,2025-06-24,41,15,654.5539,639.8096,-221.16,11.66,9.95,STCG,0.0,-242.78,-2.4727,72.11,72.11,46.77,690.8,rotation: ATGL(46.8) -> SWIGGY(66.9),10.0
COCHINSHIP,Industrials,2025-05-14,2025-07-01,48,1,1641.64,2082.915,441.27,1.95,2.16,STCG,65.57,371.59,22.6353,73.4,78.47,64.26,2301.3,scale_out_20: profit 25.8% AND score dropped 14.2pts (peak 78.5 -> 64.3),10.0
MOTILALOFS,Financial Services,2025-05-14,2025-07-01,48,2,726.776,873.4257,293.3,1.73,1.81,STCG,43.46,246.3,16.9445,72.76,72.76,55.55,893.7,scale_out_20: profit 19.7% AND score dropped 17.2pts (peak 72.8 -> 55.5),10.0
OIL,Energy,2025-06-17,2025-07-01,14,21,483.3829,437.562,-962.24,12.05,9.53,STCG,0.0,-983.82,-9.6918,66.93,66.93,56.82,483.3829,hard_stop:HARD_STOP - HARD STOP: loss -10.2% <= -10% with score 56.8 (no override) — full exit,10.0
