date,universe_n,held_pre,bought,sold,cash_pct,event,out,in,out_score,in_score
2026-03-17,205.0,0.0,10.0,0.0,11.111548631976488,,,,,
2026-03-23,205.0,7.0,3.0,3.0,8.494016720363241,,,,,
2026-03-30,,,,,,rotation,HCLTECH,OIL,53.9,62.3
2026-03-30,206.0,10.0,0.0,0.0,8.572009212172418,,,,,
2026-04-06,206.0,5.0,5.0,0.0,1.7615446404656807,,,,,
2026-04-15,,,,,,rotation,OIL,ICICIBANK,65.7,78.9
2026-04-15,204.0,10.0,0.0,0.0,1.5117427413071236,,,,,
2026-04-21,,,,,,rotation,GICRE,NESTLEIND,67.7,80.8
2026-04-21,204.0,10.0,0.0,0.0,3.9754871991255443,,,,,
2026-04-28,,,,,,rotation,ICICIBANK,ADANIPORTS,69.7,80.3
2026-04-28,204.0,10.0,0.0,0.0,3.0568467899829623,,,,,
2026-05-07,,,,,,rotation,NATIONALUM,MARICO,64.7,83.5
2026-05-07,203.0,10.0,0.0,0.0,2.3081510792622573,,,,,
