symbol,momentum_score,current_price,price_change_1m,price_change_3m,rsi,sector,market_cap,pe_ratio,volatility,volume_ratio,allocation
MARUTI,50.400000000000006,15651.0,-0.9806402631911904,27.223215737278483,26.986301369863014,Consumer Cyclical,4920714461184,33.343273,20.562716369610282,1.2664593443944145,5.0
ITC,48.510000000000005,413.95001220703125,2.386847565032335,-0.600312144727988,66.70455932617188,Consumer Defensive,5185898283008,25.71118,14.316593499546679,0.834529223706996,5.0
CIPLA,48.300000000000004,1511.5,-0.40850967723150555,0.5789160825925732,41.88725955150622,Healthcare,1221230854144,22.472494,21.893729018590687,1.4992325835426394,5.0
SBIN,46.2,949.7000122070312,9.50075240099415,19.60957332582258,82.19970297997529,Financial Services,8766317658112,10.668389,18.221372148794284,1.3566164288244487,5.0
AXISBANK,46.2,1233.699951171875,4.462315933266292,16.123863217368452,63.32326529106969,Financial Services,3829032026112,14.781931,21.863862014837586,0.7623597381802701,5.0
NTPC,46.2,335.20001220703125,-1.9883005242598673,2.3250419358282537,41.9753086419753,Utilities,3250322669568,17.953938,19.594889846571586,1.067243803205981,5.0
INDUSINDBK,46.2,796.9000244140625,6.622959376915505,1.6843195101985176,66.11497572418077,Financial Services,620845662208,15.0,45.598857894222725,0.5354286077308448,5.0
CUB,46.2,236.0399932861328,9.61270423528835,10.366109634405474,63.998767550403876,Financial Services,174917156864,15.092071,31.203798902183845,1.0899061863753268,5.0
INDIANB,46.2,880.3499755859375,14.935695744591836,41.71763655608842,82.42383375222215,Financial Services,1186214051840,10.5154085,27.028994927276333,1.7209692502383693,5.0
DRREDDY,46.2,1196.0,-4.174343129962688,-2.015400301325465,33.31656654645698,Healthcare,995813031936,17.012802,21.464965064509705,2.0022773307603106,5.0
WIPRO,46.2,240.5,-0.1991848850731004,-0.9268795056642687,42.446980106338486,Technology,2518617686016,18.715952,24.926535782433557,0.6982928079894646,5.0
HINDALCO,46.2,847.2000122070312,8.566673763383982,26.910987287163568,76.94193583658797,Basic Materials,1893600067584,11.126872,26.004907411004623,1.0586121905063144,5.0
FEDERALBNK,46.2,237.88999938964844,23.66273609599625,22.06981637645935,84.90035322614352,Financial Services,584749154304,14.896055,23.447205210187988,1.1837174509685766,5.0
VEDL,46.2,513.0,8.928758191534648,25.314966907796954,66.3751235235012,Basic Materials,2003624132608,13.823767,30.32280421582003,1.5631597739494383,5.0
POWERGRID,46.2,288.0,-0.5868181344142798,-0.6883279121814412,52.91339823891778,Utilities,2678574022656,18.011257,22.070359109578973,0.9236514852223638,5.0
ICICIBANK,46.2,1346.4000244140625,-1.377082290522702,-7.801780132957859,41.4151903268462,Financial Services,9621151416320,18.229082,16.89445603993346,1.4698017765161369,5.0
DIVISLAB,44.1,6804.0,15.990453460620536,6.9559066257957936,68.53512705530642,Healthcare,1806248181760,78.27888,26.463856946072145,0.9846099570634016,5.0
BAJAJFINSV,42.2625,2081.60009765625,4.033188677971022,8.626000345259666,60.63979110525,Financial Services,3322747551744,35.22166,23.187571392806706,0.41220787148286786,5.0
TCS,42.0,3016.800048828125,4.347216246559382,0.8342267406591164,52.9692194418952,Technology,10915045965824,22.070377,19.672652949717847,0.9018486612978243,5.0
RELIANCE,42.0,1484.699951171875,8.896869927073858,6.954852770526876,79.06729718015563,Energy,20091661975552,24.184721,20.53491882367664,0.9663488650163417,5.0
