date,universe_n,held_pre,bought,sold,cash_pct
2025-06-02,10,0,10,0,2.605206272723528
2025-07-01,10,7,3,0,2.386771636092061
2025-08-01,10,0,10,0,4.3841075614210006
2025-09-01,10,4,6,0,4.371033189548651
2025-10-01,10,2,8,0,1.4405683082231757
2025-11-03,10,5,4,0,10.612714828218069
2025-12-01,10,2,8,0,1.7929858003448824
2026-01-01,10,6,2,0,18.460226249059527
2026-02-02,10,2,6,0,19.43853206727296
2026-03-02,10,4,6,0,2.869657069174046
2026-04-01,10,1,9,0,1.2229644760650746
2026-05-01,10,3,7,0,3.5596968114624405
2026-06-01,10,4,6,0,2.253334520038505
