symbol,sector,qty,avg_cost,last_mark,unrealized_pl_pct,entry_date,entry_score,peak_score,last_score
HYUNDAI,Consumer Cyclical,5,1692.8912,1835.8,8.4417,2026-04-07,57.26,59.44,48.9
KPITTECH,Technology,1,739.6389,722.65,-2.2969,2026-04-16,50.48,60.72,60.72
MOTILALOFS,Financial Services,4,820.3195,891.3,8.6528,2026-04-22,55.14,55.14,46.54
IGL,Utilities,23,167.3672,169.84,1.4775,2026-04-22,53.37,53.37,51.21
HINDZINC,Basic Materials,10,616.7161,636.55,3.2161,2026-04-29,58.26,58.26,50.69
M&MFIN,Financial Services,33,316.8165,328.45,3.672,2026-04-29,54.57,56.57,41.51
YESBANK,Financial Services,474,22.4925,22.4925,0.0,2026-05-08,57.29,57.29,57.29
HEROMOTOCO,Consumer Cyclical,1,5346.341,5346.341,0.0,2026-05-08,55.38,55.38,55.38
VEDL,Basic Materials,34,305.9556,305.9556,0.0,2026-05-08,54.84,54.84,54.84
ABFRL,Consumer Cyclical,157,67.7677,67.7677,0.0,2026-05-08,54.32,54.32,54.32
