symbol,sector,entry_date,exit_date,holding_days,qty,entry_price,exit_price,gross_pl,entry_costs,exit_costs,tax_type,tax,net_pl,net_return_pct,entry_score,peak_score,exit_score,peak_price,exit_reason,slippage_bps
WAAREEENER,Technology,2026-03-18,2026-03-19,1,3,2892.89,3091.905,597.05,10.3,9.62,STCG,115.42,461.7,5.3199,57.44,62.79,62.79,3184.8,MOMENTUM EXHAUSTION: 🔴 RSI extreme: 81 (heavy exhaustion) | 🕯️ Upper wicks: 4 rejections | 📈 Strong rally: +18.7% in 5 days,10.0
PREMIERENE,Technology,2026-03-18,2026-03-19,1,6,819.6188,849.15,177.19,5.84,5.28,STCG,33.21,132.85,2.7015,52.27,59.28,59.28,869.6,MOMENTUM EXHAUSTION: 🔴 RSI extreme: 82 (heavy exhaustion),10.0
PREMIERENE,Technology,2026-03-18,2026-03-20,2,3,819.6188,869.13,148.53,2.92,2.7,STCG,28.58,114.33,4.6496,52.27,59.28,58.02,869.6,MOMENTUM EXHAUSTION: 🔴 RSI extreme: 82 (heavy exhaustion),10.0
PREMIERENE,Technology,2026-03-18,2026-03-21,3,2,819.6188,850.149,61.06,1.95,1.76,STCG,11.47,45.88,2.7989,52.27,59.28,58.02,869.6,MOMENTUM EXHAUSTION: 🔴 RSI extreme: 81 (heavy exhaustion),10.0
NATIONALUM,Basic Materials,2026-03-18,2026-03-21,3,25,392.392,357.1425,-881.24,11.65,9.26,STCG,0.0,-902.14,-9.1964,47.48,51.13,50.35,392.392,hard_stop:HARD_STOP - HARD STOP: loss -6.1% <= -6% threshold,10.0
BSE,Financial Services,2026-03-18,2026-03-21,3,3,2985.2823,2767.23,-654.16,10.63,8.61,STCG,0.0,-673.4,-7.5191,45.35,49.43,45.31,2995.6,hard_stop:HARD_STOP - HARD STOP: loss -6.0% <= -6% threshold,10.0
PREMIERENE,Technology,2026-03-18,2026-03-24,6,1,819.6188,879.12,59.5,0.97,0.91,STCG,11.52,46.09,5.6237,52.27,59.28,53.88,869.6,MOMENTUM EXHAUSTION: 🔴 RSI extreme: 89 (heavy exhaustion) | 📉 Volume declining on rally,10.0
IDBI,Financial Services,2026-03-18,2026-03-24,6,130,75.3853,69.93,-709.19,11.63,9.43,STCG,0.0,-730.25,-7.4515,50.06,54.68,46.14,75.3853,hard_stop:HARD_STOP - HARD STOP: loss -9.8% <= -8% with score 46.1 (no override) — full exit,10.0
MOTILALOFS,Financial Services,2026-03-18,2026-03-24,6,14,686.636,649.1502,-524.8,11.41,9.43,STCG,0.0,-545.64,-5.6761,46.39,46.39,43.65,698.3,hard_stop:HARD_STOP - HARD STOP: loss -8.0% <= -8% with score 43.7 (no override) — full exit,10.0
WAAREEENER,Technology,2026-03-24,2026-03-25,1,2,3138.135,3138.858,1.45,7.16,6.51,STCG,0.0,-12.23,-0.1948,55.06,55.06,52.78,3138.135,MOMENTUM EXHAUSTION: ⚠️ RSI overbought: 77 | 🕯️ Upper wicks: 3 rejections,10.0
