date,universe_n,held_pre,bought,sold,cash_pct
2020-01-01,10,0,10,0,1.6883704806225295
2020-02-03,10,6,4,1,0.10912246978319093
2020-03-02,10,5,4,0,9.096576676231011
2020-04-01,2,0,2,0,80.72393616270467
2020-05-04,10,1,8,0,9.158704478856592
2020-06-01,10,4,5,0,9.616357535958914
2020-07-01,10,3,7,0,4.635673872879485
2020-08-03,10,4,6,0,0.06625784950546085
2020-09-01,10,9,1,0,0.8907099508713117
2020-10-01,10,7,2,0,10.52893848764617
2020-11-02,10,3,6,0,6.953101530586723
2020-12-01,10,2,8,0,1.971502147020253
2021-01-01,10,6,4,0,1.0030422757710205
2021-02-01,10,4,6,1,1.1364901526177777
2021-03-01,10,3,6,0,9.29297739924237
2021-04-01,10,3,6,0,11.492336497968939
2021-05-03,10,3,6,0,9.209679076207724
2021-06-01,10,2,7,0,11.635890467533564
2021-07-01,10,7,2,0,9.58488606962058
2021-08-02,10,4,5,0,8.576226629473439
2021-09-01,10,5,4,0,7.938127717422263
2021-10-01,10,5,4,0,6.40255038031509
2021-11-01,10,2,6,0,18.322630321610234
2021-12-01,10,2,7,0,8.05251572109673
2022-01-03,10,1,8,0,10.133890972453916
2022-02-01,10,3,6,0,9.36500762624209
2022-03-02,10,2,7,0,9.013063981446608
2022-04-01,10,4,4,0,19.496496178686222
2022-05-02,10,5,3,0,17.29231365111506
2022-06-01,10,3,6,0,4.237757365007357
2022-07-01,10,3,7,1,0.10409147558882992
2022-08-01,10,4,6,0,2.783447624188749
2022-09-01,10,7,2,0,11.20691849533425
2022-10-03,10,2,8,0,0.7259283816112727
2022-11-01,10,3,7,0,0.17979721150021857
2022-12-01,10,2,7,0,9.880445456883088
2023-01-02,10,2,7,0,10.331731216720758
2023-02-01,10,1,9,0,1.1063555003709398
2023-03-01,10,5,5,0,0.08429029318855634
2023-04-03,10,5,5,0,0.16273964627167695
2023-05-02,10,5,5,0,0.18488188289615498
2023-06-01,10,8,2,0,0.13083877674964223
2023-07-03,10,6,4,0,3.5681559221344124
2023-08-01,10,5,4,0,10.673784850563276
2023-09-01,10,1,9,0,2.365868534636854
2023-10-03,10,5,4,0,10.470602897027298
2023-11-01,10,4,6,0,0.07955505631260495
2023-12-01,10,1,9,0,1.545108232091386
2024-01-01,10,7,3,0,1.1592429215583235
2024-02-01,10,3,6,0,10.369227437530288
2024-03-01,10,7,3,0,0.07334300901950049
2024-04-01,10,10,0,0,0.07012851582990488
2024-05-02,10,9,1,0,0.09158991077362678
2024-06-03,10,8,2,0,0.08327580259571123
2024-07-01,10,3,6,0,11.484350256834684
2024-08-01,10,6,3,0,11.064388410851915
2024-09-02,10,5,3,0,15.274675505223994
2024-10-01,10,6,2,0,14.669215510576059
2024-11-01,10,1,9,0,0.5561761357386217
2024-12-02,10,5,4,0,7.595382781816462
2025-01-01,10,4,5,0,4.6226405533235155
2025-02-01,10,1,9,0,0.2855546715735803
2025-03-03,2,0,2,1,80.2145280322106
2025-04-01,10,1,9,0,0.8631647117186045
2025-05-02,10,5,4,0,9.598133077245173
2025-06-02,10,4,5,0,8.918215192002275
2025-07-01,10,2,8,0,0.26590913089448004
2025-08-01,10,2,8,0,2.2510047255441035
2025-09-01,10,2,7,0,8.776141017430925
2025-10-01,10,4,5,0,6.852555372847433
2025-11-03,10,4,6,0,0.08108246351945114
2025-12-01,10,6,3,0,6.14083283284135
2026-01-01,10,5,4,0,7.402056998114018
2026-02-02,10,2,8,0,0.5825727426819207
2026-03-02,10,5,5,0,0.07626504842854068
2026-04-01,10,1,9,0,0.7123075571669621
2026-05-01,10,3,6,0,11.529222093122023
2026-06-01,10,5,4,0,9.34144856531934
