symbol,sector,entry_date,exit_date,holding_days,qty,entry_price,exit_price,gross_pl,entry_costs,exit_costs,tax_type,tax,net_pl,net_return_pct,entry_score,peak_score,exit_score,peak_price,exit_reason,slippage_bps
NMDC,Basic Materials,2020-01-02,2020-02-04,33,2976,33.1231,26.722,-19049.67,117.03,82.49,STCG,0.0,-19249.19,-19.5276,178.45,178.45,69.43,35.5625,LVM_STOP: -20.2% <= -10%,10.0
POLYCAB,Industrials,2020-01-02,2020-02-04,33,99,994.994,992.007,-295.71,116.95,101.86,STCG,0.0,-514.52,-0.5223,188.94,188.94,88.43,1129.15,LVM_ROTATION,10.0
TIINDIA,Industrials,2020-01-02,2020-02-04,33,200,491.0405,491.4081,73.52,116.6,101.94,STCG,0.0,-145.02,-0.1477,184.77,184.77,84.0,524.9,LVM_ROTATION,10.0
ASIANPAINT,Basic Materials,2020-01-02,2020-02-04,33,54,1792.791,1868.13,4068.31,114.94,104.63,STCG,769.75,3078.99,3.1804,179.6,179.6,79.43,1867.65,LVM_ROTATION,10.0
ATGL,Utilities,2020-02-04,2020-02-27,23,613,166.9668,149.85,-10492.6,121.51,95.28,STCG,0.0,-10709.39,-10.4634,194.29,194.29,194.29,184.85,LVM_STOP: -10.8% <= -10%,10.0
NAUKRI,Communication Services,2020-01-02,2020-03-03,61,193,510.51,542.4969,6173.47,116.98,108.6,STCG,1189.58,4758.32,4.8294,195.98,195.98,94.86,615.66,LVM_ROTATION,10.0
COFORGE,Technology,2020-01-02,2020-03-03,61,311,316.6664,361.3583,13899.18,116.92,116.57,STCG,2733.14,10932.55,11.1009,190.52,190.57,88.86,401.82,LVM_ROTATION,10.0
PHOENIXLTD,Real Estate,2020-01-02,2020-03-03,61,231,425.3499,400.1744,-5815.54,116.65,95.88,STCG,0.0,-6028.07,-6.1351,175.29,175.29,72.86,466.925,LVM_ROTATION,10.0
ASTRAL,Industrials,2020-02-04,2020-03-03,28,130,663.9353,646.5093,-2265.38,102.47,87.17,STCG,0.0,-2455.03,-2.8444,175.43,175.43,71.71,685.0689,LVM_ROTATION,10.0
POLYCAB,Industrials,2020-03-03,2020-03-13,10,93,1078.077,805.194,-25378.12,114.3,77.67,STCG,0.0,-25570.09,-25.5035,190.14,190.14,190.14,1078.077,LVM_STOP: -18.8% <= -10%,10.0
