symbol,sector,qty,avg_cost,last_mark,unrealized_pl_pct,entry_date,entry_score,peak_score,last_score
CUMMINSIND,Industrials,59,4665.7612,5680.5,21.7486,2026-03-03,193.5,196.75,196.5
COALINDIA,Energy,557,448.8484,472.6,5.2917,2026-04-02,163.5,167.5,167.5
POLYCAB,Industrials,34,8118.6105,9480.5,16.7749,2026-05-02,191.25,193.5,193.5
NMDC,Basic Materials,3055,91.091,92.37,1.4041,2026-05-02,186.0,186.0,184.75
BAJAJ-AUTO,Consumer Cyclical,27,10254.244,10376.0,1.1874,2026-05-02,168.75,169.0,169.0
EICHERMOT,Consumer Cyclical,40,7076.069,7076.069,0.0,2026-06-02,189.75,189.75,189.75
TORNTPHARM,Healthcare,66,4284.28,4284.28,0.0,2026-06-02,183.38,183.38,183.38
ZYDUSLIFE,Healthcare,262,1083.082,1083.082,0.0,2026-06-02,183.0,183.0,183.0
APOLLOHOSP,Healthcare,36,7823.816,7823.816,0.0,2026-06-02,178.0,178.0,178.0
