date,universe_n,held_pre,bought,sold,cash_pct,event,out,in,out_score,in_score
2025-11-18,20.0,0.0,10.0,0.0,7.6700177248882575,,,,,
2025-12-18,,,,,,rotation,AUROPHARMA,INFY,67.3,76.2
2025-12-18,20.0,10.0,0.0,1.0,14.048986666613313,,,,,
2026-01-17,,,,,,rotation,ADANIPORTS,ICICIPRULI,72.4,80.9
2026-01-17,20.0,10.0,0.0,1.0,17.457543361106627,,,,,
2026-03-13,198.0,3.0,7.0,8.0,15.487079254553315,,,,,
2026-03-16,,,,,,rotation,INDUSTOWER,J&KBANK,69.525,97.35714285714286
2026-03-16,205.0,10.0,0.0,1.0,17.91558376318622,,,,,
2026-03-23,205.0,5.0,5.0,4.0,5.398617434741898,,,,,
2026-03-30,206.0,10.0,0.0,0.0,5.29602405960242,,,,,
2026-04-06,206.0,9.0,1.0,0.0,4.016286098480855,,,,,
2026-04-15,204.0,9.0,1.0,0.0,7.966883576933603,,,,,
2026-04-21,,,,,,rotation,OIL,NESTLEIND,63.1,80.8
2026-04-21,204.0,10.0,0.0,1.0,10.865285467988144,,,,,
2026-04-28,,,,,,rotation,GICRE,ADANIPORTS,67.3,80.3
2026-04-28,204.0,10.0,0.0,1.0,12.363466392769801,,,,,
2026-05-07,,,,,,rotation,ICICIBANK,MARICO,67.9,83.5
2026-05-07,203.0,10.0,0.0,1.0,12.218744064335961,,,,,
2026-05-11,204.0,9.0,1.0,2.0,10.88155630123186,,,,,
