symbol,sector,entry_date,exit_date,holding_days,qty,entry_price,exit_price,gross_pl,entry_costs,exit_costs,tax_type,tax,net_pl,net_return_pct,entry_score,peak_score,exit_score,peak_price,exit_reason,slippage_bps
ICICIBANK,Financial Services,2021-11-02,2021-11-27,25,207,809.809,726.0232,-17343.66,199.02,155.88,STCG,0.0,-17698.56,-10.5581,162.02,162.02,162.02,809.809,LVM_STOP: -10.8% <= -10%,10.0
TITAN,Consumer Cyclical,2021-09-02,2021-12-02,91,72,1960.4585,2366.631,29244.42,159.45,176.74,STCG,5781.64,23126.58,16.384,174.59,174.59,72.95,2588.8,LVM_ROTATION,10.0
GRASIM,Basic Materials,2021-10-02,2021-12-02,61,91,1647.1027,1668.2899,1928.04,174.07,157.47,STCG,319.3,1277.2,0.8521,184.62,184.62,80.6,1867.0264,LVM_ROTATION,10.0
BAJAJHLDNG,Financial Services,2021-10-02,2021-12-02,61,31,4792.6878,5214.78,13084.86,176.39,167.68,STCG,2548.16,10192.63,6.8603,175.27,181.15,80.87,5186.4502,LVM_ROTATION,10.0
TECHM,Technology,2021-10-02,2021-12-02,61,109,1386.0847,1588.41,22053.46,157.06,179.58,STCG,4343.36,17373.45,11.4993,165.66,167.49,73.77,1618.45,LVM_ROTATION,10.0
UNITDSPR,Consumer Defensive,2021-10-02,2021-12-02,61,174,869.819,876.9721,1244.64,179.68,158.27,STCG,181.34,725.34,0.4793,164.84,171.86,68.03,1004.5,LVM_ROTATION,10.0
POLYCAB,Industrials,2021-11-02,2021-12-02,30,71,2348.346,2329.1185,-1365.15,178.53,171.52,STCG,0.0,-1715.21,-1.0287,173.22,173.22,74.32,2532.5,LVM_ROTATION,10.0
ABB,Industrials,2021-11-02,2021-12-02,30,80,2092.09,2015.8821,-6096.63,198.7,167.27,STCG,0.0,-6462.61,-3.8613,166.94,166.94,71.04,2211.3,LVM_ROTATION,10.0
DMART,Consumer Defensive,2021-11-02,2021-12-02,30,36,4601.2969,4745.25,5182.31,196.66,177.19,STCG,961.69,3846.77,2.3223,165.3,165.3,68.03,5126.3999,LVM_ROTATION,10.0
PAGEIND,Consumer Cyclical,2021-11-02,2021-12-02,30,4,38648.61,37962.0,-2746.44,183.54,157.5,STCG,0.0,-3087.48,-1.9971,162.3,162.3,64.48,41193.6016,LVM_ROTATION,10.0
KPITTECH,Technology,2021-12-02,2021-12-21,19,342,508.508,464.535,-15038.77,206.47,164.79,STCG,0.0,-15410.02,-8.8609,154.64,154.64,154.64,516.95,LVM_STOP: -10.2% <= -10%,10.0
PERSISTENT,Technology,2021-12-02,2022-01-04,33,82,2107.1299,2437.56,27095.27,205.13,207.32,STCG,5336.56,21346.25,12.3543,171.31,171.31,70.77,2452.175,LVM_ROTATION,10.0
MAXHEALTH,Healthcare,2021-12-02,2022-01-04,33,460,378.378,434.1654,25662.2,206.64,207.15,STCG,5049.68,20198.73,11.6049,160.93,160.93,63.66,442.9,LVM_ROTATION,10.0
APLAPOLLO,Basic Materials,2021-12-02,2022-01-04,33,187,928.7278,949.05,3800.25,206.19,184.08,STCG,682.0,2727.99,1.5708,156.83,156.83,54.64,1082.85,LVM_ROTATION,10.0
BSE,Financial Services,2021-12-02,2022-01-04,33,935,186.186,212.6649,24757.77,206.68,206.24,STCG,4868.97,19475.88,11.1876,155.74,155.74,53.28,254.5889,LVM_ROTATION,10.0
CGPOWER,Industrials,2021-12-02,2022-01-04,33,1152,151.151,196.803,52591.1,206.73,235.16,STCG,10429.84,41719.38,23.9593,155.74,155.74,56.83,196.1,LVM_ROTATION,10.0
ADANIENT,Energy,2021-12-02,2022-01-04,33,102,1694.1925,1724.0242,3042.83,205.16,182.4,STCG,531.05,2124.22,1.2292,155.19,155.19,54.64,1751.0,LVM_ROTATION,10.0
VEDL,Basic Materials,2021-12-02,2022-01-04,33,501,347.347,356.7429,4707.35,206.6,185.38,STCG,863.07,3452.29,1.9838,154.64,154.64,53.01,359.9,LVM_ROTATION,10.0
TATAPOWER,Utilities,2021-12-02,2022-01-04,33,755,230.6804,224.0757,-4986.55,206.77,175.47,STCG,0.0,-5368.8,-3.0826,154.1,154.1,53.28,230.6804,LVM_ROTATION,10.0
TMPV,Consumer Cyclical,2021-12-02,2022-01-04,33,363,479.8794,496.3032,5961.84,206.81,186.86,STCG,1113.63,4454.53,2.5572,151.37,151.37,51.37,497.6,LVM_ROTATION,10.0
WIPRO,Technology,2022-01-04,2022-01-14,10,542,361.7364,324.3004,-20290.31,216.16,182.31,STCG,0.0,-20688.79,-10.5522,180.33,180.33,180.33,361.7364,LVM_STOP: -10.2% <= -10%,10.0
TECHM,Technology,2022-01-04,2022-01-22,18,109,1794.793,1586.412,-22713.53,183.17,179.36,STCG,0.0,-23076.05,-11.7956,175.96,175.96,175.96,1794.793,LVM_STOP: -11.2% <= -10%,10.0
INFY,Technology,2022-01-04,2022-01-28,24,103,1900.3484,1679.319,-22766.03,206.52,179.41,STCG,0.0,-23151.95,-11.8282,180.33,180.33,180.33,1939.5,LVM_STOP: -11.7% <= -10%,10.0
BAJAJHLDNG,Financial Services,2022-01-04,2022-02-02,29,36,5379.374,5244.75,-4846.46,218.31,195.84,STCG,0.0,-5260.62,-2.7165,181.97,181.97,78.96,5496.0498,LVM_ROTATION,10.0
