symbol,sector,entry_date,exit_date,holding_days,qty,entry_price,exit_price,gross_pl,entry_costs,exit_costs,tax_type,tax,net_pl,net_return_pct,entry_score,peak_score,exit_score,peak_price,exit_reason,slippage_bps
CUMMINSIND,Industrials,2023-08-02,2023-08-09,7,131,1928.8269,1733.265,-25618.61,239.23,235.51,STCG,0.0,-26093.35,-10.3268,185.37,185.37,185.37,1928.8269,LVM_STOP: -10.1% <= -10%,10.0
ITC,Consumer Defensive,2023-02-02,2023-09-02,212,626,348.5383,426.4816,48792.51,213.7,276.92,STCG,9660.38,38641.51,17.7104,190.91,191.18,82.71,473.8987,LVM_ROTATION,10.0
TITAN,Consumer Cyclical,2023-06-02,2023-09-02,92,81,2832.83,3113.833,22761.24,142.94,261.61,STCG,4471.34,17885.36,7.7946,177.01,181.82,72.07,3144.0,LVM_ROTATION,10.0
TORNTPHARM,Healthcare,2023-07-04,2023-09-02,60,128,1902.8009,1803.195,-12749.56,205.36,239.4,STCG,0.0,-13194.31,-5.4173,164.17,166.76,56.38,2073.8501,LVM_ROTATION,10.0
LT,Industrials,2023-07-04,2023-09-02,60,99,2460.6582,2730.267,26691.27,289.21,280.36,STCG,5224.34,20897.36,8.5784,163.77,163.77,61.17,2718.95,LVM_ROTATION,10.0
COLPAL,Consumer Defensive,2023-08-02,2023-09-02,31,126,2008.3563,1937.4606,-8932.86,237.02,253.21,STCG,0.0,-9423.09,-3.7238,176.6,176.6,72.07,2008.3563,LVM_ROTATION,10.0
SUNPHARMA,Healthcare,2023-08-02,2023-09-02,31,221,1145.0939,1112.886,-7117.95,300.45,255.1,STCG,0.0,-7673.5,-3.0322,168.88,168.88,67.55,1160.8,LVM_ROTATION,10.0
NMDC,Basic Materials,2023-08-02,2023-09-02,31,6491,39.0056,44.3223,34510.7,311.59,298.41,STCG,6780.14,27120.56,10.7117,161.17,161.17,59.57,43.5,LVM_ROTATION,10.0
SIEMENS,Industrials,2023-04-04,2023-10-04,183,110,1970.0306,2093.4925,13580.81,213.24,238.86,STCG,2625.74,10502.97,4.8467,177.81,178.34,64.63,2338.019,LVM_ROTATION,10.0
DRREDDY,Healthcare,2023-08-02,2023-10-04,63,223,1134.5535,1091.907,-9510.17,245.83,252.56,STCG,0.0,-10008.56,-3.9559,174.73,175.27,71.28,1190.67,LVM_ROTATION,10.0
HCLTECH,Technology,2023-09-02,2023-10-04,32,210,1187.186,1232.766,9571.8,168.4,268.52,STCG,1826.98,7307.91,2.9313,171.01,171.01,70.74,1305.0,LVM_ROTATION,10.0
INDHOTEL,Consumer Cyclical,2023-09-02,2023-10-04,32,587,424.9245,411.3383,-7975.1,296.13,250.44,STCG,0.0,-8521.67,-3.4164,168.09,168.09,55.32,431.5,LVM_ROTATION,10.0
UNITDSPR,Consumer Defensive,2023-09-02,2023-10-04,32,245,1015.014,997.7513,-4229.36,244.72,253.55,STCG,0.0,-4727.63,-1.9011,167.29,167.29,56.12,1067.15,LVM_ROTATION,10.0
CGPOWER,Industrials,2023-09-02,2023-10-20,48,584,427.0266,382.617,-25935.21,158.68,231.77,STCG,0.0,-26325.66,-10.5563,193.62,193.62,192.55,455.25,LVM_STOP: -10.9% <= -10%,10.0
POLYCAB,Industrials,2023-09-02,2023-11-02,61,47,5240.235,4954.94,-13408.87,120.93,241.55,STCG,0.0,-13771.35,-5.5915,189.63,189.63,88.3,5467.8501,LVM_ROTATION,10.0
