date,universe_n,held_pre,bought,sold,cash_pct
2025-06-02,199,0,7,0,36.40588681230027
2025-06-09,199,4,6,0,6.815361605472335
2025-06-16,199,4,5,0,17.23058357071553
2025-06-23,199,5,3,2,28.811016358588986
2025-06-30,199,7,3,0,10.892515641078218
2025-07-07,199,7,3,0,11.376926388949336
2025-07-14,199,9,1,0,13.326864771050746
2025-07-21,199,8,2,2,11.204717685408738
2025-07-28,199,7,1,1,32.41213544321331
2025-08-04,199,6,4,0,13.107012648170608
2025-08-11,199,4,1,0,55.92044077785903
2025-08-18,199,4,6,1,10.522772234223453
2025-08-25,199,8,2,1,9.37940363288854
2025-09-01,199,7,3,0,6.299737567227308
2025-09-08,199,9,1,0,5.34908616907782
2025-09-15,199,10,0,0,5.317485403218764
2025-09-22,199,10,0,0,5.291959489186588
2025-09-29,199,9,1,0,5.713513413765123
2025-10-06,199,8,2,1,4.344160818378579
2025-10-13,199,8,2,0,2.2334009483696127
2025-10-20,199,10,0,0,2.2146239364209053
2025-10-27,199,9,1,0,1.8005950155463513
2025-11-03,199,7,3,0,1.3908803448248594
2025-11-10,199,9,1,0,2.043790058401961
2025-11-17,199,10,0,0,2.0222598975133015
2025-11-24,199,9,1,1,3.7476479936070444
2025-12-01,199,9,1,0,2.0742045955320325
2025-12-08,199,7,1,1,20.01235439441085
2025-12-15,199,8,2,0,0.5163673959007891
2025-12-22,199,6,4,0,0.43178603900039697
2025-12-29,199,7,3,3,0.5738777662515132
2026-01-05,199,9,1,0,0.15198879264785228
2026-01-12,199,6,1,0,30.011384880771473
2026-01-19,199,6,4,0,3.3418302230525976
2026-01-27,199,6,4,0,5.097530079265001
2026-02-02,199,5,1,3,43.326064223114585
2026-02-09,199,4,6,0,5.071866400285745
2026-02-16,199,8,2,1,4.189598463904357
2026-02-23,199,10,0,0,4.134946588207704
2026-03-02,199,10,0,0,4.15607159972372
2026-03-09,199,4,1,4,52.390921258625234
2026-03-16,199,3,1,0,60.86335415072603
2026-03-23,199,2,0,1,79.56209947475307
2026-03-30,199,2,2,0,60.813120286643795
2026-04-06,199,2,6,1,21.963652797557945
2026-04-13,199,6,4,0,2.906661329929078
2026-04-20,199,10,0,0,2.750599032187409
2026-04-27,199,9,1,0,1.4562423111929998
2026-05-04,199,8,2,1,0.8562504174278998
2026-05-11,199,9,1,1,0.15192807746866813
2026-05-18,199,5,3,1,19.280018964765357
2026-05-25,200,5,5,1,3.437367399873978
