symbol,sector,qty,avg_cost,last_mark,unrealized_pl_pct,entry_date,entry_score,peak_score,last_score
OLAELEC,Consumer Cyclical,338,23.6536,35.09,48.3495,2026-03-18,69.94,78.87,70.56
WAAREEENER,Technology,3,2892.89,3226.6,11.5355,2026-03-18,59.51,61.78,53.08
COFORGE,Technology,9,1085.3843,1285.3,18.4189,2026-03-18,59.37,59.37,56.96
ATGL,Utilities,18,532.532,644.25,20.9786,2026-03-24,56.74,63.33,55.37
MOTILALOFS,Financial Services,14,650.4498,891.3,37.0283,2026-03-24,52.77,60.61,56.86
COCHINSHIP,Industrials,7,1246.1449,1814.7,45.6251,2026-03-31,56.44,64.82,60.78
ABFRL,Consumer Cyclical,169,58.9389,67.79,15.0174,2026-04-07,64.17,72.78,70.99
MAZDOCK,Industrials,4,2306.7043,2683.3,16.3261,2026-04-07,58.68,58.68,56.6
KPITTECH,Technology,15,739.6389,722.65,-2.2969,2026-04-16,60.83,62.31,62.31
VEDL,Basic Materials,37,305.9556,305.9556,0.0,2026-05-08,65.62,65.62,65.62
