date,universe_n,held_pre,bought,sold,cash_pct,event,out,in,out_score,in_score
2026-03-17,205.0,0.0,10.0,0.0,5.70708422596719,,,,,
2026-03-23,205.0,5.0,5.0,5.0,3.698912703545902,,,,,
2026-03-30,206.0,8.0,2.0,2.0,2.73714296581085,,,,,
2026-04-06,206.0,8.0,2.0,0.0,1.8391082478633247,,,,,
2026-04-15,,,,,,rotation,IRB,KPITTECH,45.53777,60.82974
2026-04-15,204.0,10.0,0.0,0.0,0.10068388862030737,,,,,
2026-04-21,204.0,10.0,0.0,0.0,3.1486904891846965,,,,,
2026-04-28,,,,,,rotation,TATAELXSI,M&MFIN,47.85757,58.89013
2026-04-28,204.0,10.0,0.0,0.0,0.6648761831291322,,,,,
2026-05-07,,,,,,rotation,M&MFIN,VEDL,52.29661,65.62489000000001
2026-05-07,203.0,10.0,0.0,0.0,0.7239626938577542,,,,,
