symbol,sector,qty,avg_cost,last_mark,unrealized_pl_pct,entry_date,entry_score,peak_score,last_score
FEDERALBNK,Financial Services,5,245.5453,284.8,15.9867,2025-11-19,79.8,83.2,58.9
ONGC,Energy,33,264.314,294.5,11.4205,2026-03-14,76.93,78.6,66.6
AUROPHARMA,Healthcare,6,1304.303,1488.2,14.0993,2026-03-24,72.1,80.0,75.7
LUPIN,Healthcare,3,2327.325,2245.4,-3.5201,2026-03-24,71.8,83.2,61.6
NTPC,Utilities,22,378.378,392.7,3.7851,2026-03-24,60.8,70.6,57.9
NMDC,Basic Materials,110,77.5274,86.62,11.7282,2026-03-24,60.4,81.9,65.1
NESTLEIND,Consumer Defensive,6,1392.391,1468.6,5.4732,2026-04-22,80.8,82.5,71.3
ADANIPORTS,Industrials,5,1646.645,1688.2,2.5236,2026-04-29,80.3,81.9,73.9
MARICO,Consumer Defensive,11,832.9822,830.0,-0.358,2026-05-08,83.5,83.5,70.6
PIDILITIND,Basic Materials,6,1434.5331,1453.0,1.2873,2026-05-12,79.6,79.6,73.0
