symbol,sector,entry_date,exit_date,holding_days,qty,entry_price,exit_price,gross_pl,entry_costs,exit_costs,tax_type,tax,net_pl,net_return_pct,entry_score,peak_score,exit_score,peak_price,exit_reason,slippage_bps
ONGC,Energy,2026-03-03,2026-03-10,7,34,287.287,270.5792,-568.07,11.6,9.54,STCG,0.0,-589.2,-6.0321,60.85,60.85,46.25,287.287,VMQ SWING STOP: loss -5.7% <= -5%,10.0
TIINDIA,Industrials,2026-03-03,2026-03-10,7,3,2806.3035,2632.365,-521.82,10.0,8.19,STCG,0.0,-540.0,-6.4142,28.72,28.72,-13.56,2806.3035,VMQ SWING STOP: loss -7.0% <= -5%,10.0
OIL,Energy,2026-03-03,2026-03-11,8,19,495.545,470.0794,-483.85,11.18,9.26,STCG,0.0,-504.29,-5.356,66.98,66.98,34.35,495.545,VMQ SWING STOP: loss -5.0% <= -5%,10.0
BEL,Industrials,2026-03-03,2026-03-17,14,21,460.46,432.0176,-597.29,11.48,9.41,STCG,0.0,-618.18,-6.393,45.39,45.39,15.95,468.45,VMQ SWING STOP: loss -6.7% <= -5%,10.0
DMART,Consumer Defensive,2026-03-10,2026-03-18,8,2,3996.993,3796.2,-401.59,9.49,7.88,STCG,0.0,-418.95,-5.2408,56.39,56.39,7.01,3996.993,VMQ SWING STOP: loss -5.4% <= -5%,10.0
ADANIPOWER,Utilities,2026-03-17,2026-03-24,7,61,156.156,150.849,-323.73,11.31,9.54,STCG,0.0,-344.58,-3.6174,60.8,60.8,-3.55,156.156,VMQ SWING STOP: loss -5.3% <= -5%,10.0
IRB,Industrials,2026-03-31,2026-04-07,7,430,22.2222,20.6493,-676.35,11.34,9.21,STCG,0.0,-696.9,-7.2932,64.49,64.49,22.76,22.2222,VMQ SWING STOP: loss -7.0% <= -5%,10.0
KALYANKJIL,Consumer Cyclical,2026-04-07,2026-04-24,17,22,435.435,412.3872,-507.05,11.37,9.41,STCG,0.0,-527.83,-5.51,64.63,64.63,-10.89,449.15,VMQ SWING STOP: loss -5.2% <= -5%,10.0
ICICIBANK,Financial Services,2026-04-14,2026-04-30,16,7,1359.358,1259.739,-697.33,11.3,9.15,STCG,0.0,-717.78,-7.5432,13.4,13.4,-5.36,1388.4,VMQ SWING STOP: loss -5.8% <= -5%,10.0
