date,universe_n,held_pre,bought,sold,cash_pct
2026-03-02,200,0,4,0,62.93734678412769
2026-03-09,200,2,1,2,72.99817151794663
2026-03-16,200,1,1,1,82.48333994058483
2026-03-23,200,0,0,1,100.0
2026-03-30,200,0,2,0,81.96824262757877
2026-04-06,200,1,6,1,34.02541242150493
2026-04-13,200,7,3,0,2.969305265796503
2026-04-20,200,10,0,0,2.811157678095078
2026-04-27,200,9,1,0,1.7716327849664977
2026-05-04,200,9,1,0,0.35907733860009244
2026-05-11,200,10,0,0,0.35216251066978277
2026-05-18,200,10,0,0,0.36042749367530186
2026-05-25,200,10,0,0,0.3486073257874298
