symbol,FundamentalScore,TechnicalScore,OverallScore,FundamentalRating,TechnicalAnalysis,business_summary,sector,industry,employees,website,revenue_growth,earnings_growth,revenue_per_share,gross_margin,operating_margin,net_margin,roe,roa,debt_to_equity,current_ratio,quick_ratio,operating_cashflow,free_cashflow,pe_ratio,forward_pe,pb_ratio,ev_ebitda,ev_revenue,dividend_yield,market_cap,enterprise_value,quarterly_earnings_growth,quarterly_revenue_growth,peg_ratio,ps_ratio,beta,book_value,eps,forward_eps,shares_outstanding,insider_ownership,institutional_ownership,Close,Daily_Change,Weekly_Change,52W_High,52W_Low,All_Time_High,All_Time_Low,sma20,sma50,sma100,sma200,ema12,ema26,rsi14,macd,macd_signal,macd_hist,stoch_k,stoch_d,volatility,support_levels,resistance_levels,volume_sma20,current_volume,volume_trend,trend,technical_score,technical_analysis
INDIAMART,96.9,87.97,92.44,Strong Buy,Strong bullish trend across multiple timeframes Bullish MACD crossover Declining volume suggests weakening trend,0.0,0.0,0.0,0.0,0.0,0.123,0.346,238.267,0.55985,0.34025002,0.41307,0.31227,0.0847,1.489,2.251,2.229,6480280064.0,4728988672.0,26.456148,26.172445,7.6270237,24.553,9.08,1.16,155862384640.0,129765818368.0,0.348,0.0,0.0,10.906408,0.477,340.526,0.0,0.0,60011700.0,0.50591,0.27183,2597.199951171875,0.7564883566504754,-2.3572297256986063,,,3136.9157220494017,1876.7170112827462,2579.2250122070313,2584.7960009765625,2433.625920410156,2298.3117816162107,2604.612428176395,2589.1196247931216,55.27366314142626,15.49280338327344,12.715264064383593,2.777539318889847,60.111566877808194,72.18203757114006,0.07843317827241882,[],[],80620.15,57395.0,Decreasing,Strong Uptrend,87.97,Strong bullish trend across multiple timeframes Bullish MACD crossover Declining volume suggests weakening trend
MUTHOOTFIN,95.29,78.74,87.02,Strong Buy,Strong bullish trend across multiple timeframes Bearish MACD crossover Declining volume suggests weakening trend,0.0,0.0,0.0,30451.0,0.0,0.503,0.732,327.454,1.0,0.70499,0.4705,0.21574,0.04843,367.181,108.996,108.996,0.0,0.0,17.123013,49.863895,3.4887753,0.0,15.855,0.99,1058992291840.0,2084297900032.0,0.732,0.0,0.0,8.055855,0.526,756.082,0.0,52.9,401468000.0,0.73371005,0.16299999,2637.800048828125,-0.264670291544411,-1.42013600816856,,,2807.0,1734.8190964928322,2649.245007324219,2642.28400390625,2438.752801513672,2275.8372631835937,2663.2872932410037,2650.3051054479433,50.291222271449286,12.982187793060348,16.98301736555852,-4.000829572498173,53.05690655608411,58.0205834844434,0.10093073816438389,[],[],852931.55,494826.0,Decreasing,Uptrend,78.74,Strong bullish trend across multiple timeframes Bearish MACD crossover Declining volume suggests weakening trend
HINDALCO,73.09,98.09,85.59,Buy,Strong bullish trend across multiple timeframes Bullish MACD crossover Strong volume supporting price action,0.0,0.0,0.0,78999.0,0.0,0.127,0.303,1106.423,0.32362998,0.09327,0.068909995,0.14729999,0.0,53.056,0.0,0.0,0.0,0.0,9.250329,10.065124,1.2635156,5.99,0.806,0.71,1563289976832.0,1979368996864.0,0.303,0.0,0.0,0.6362208,1.018,557.136,0.0,0.0,2220740096.0,0.36817002,0.41632998,703.9500122070312,0.3635568440561343,-0.4736286786022226,,,767.0250525807884,542.4717959005195,692.0293670654297,682.6346435546875,655.8204119873047,643.0235708618164,700.764870875622,692.5839054580626,58.92786678435807,8.180965417559378,7.600992440385296,0.5799729771740818,72.84437196388721,77.75896833537179,0.09055624095569328,[],[],5259145.3,5335149.0,Increasing,Strong Uptrend,98.09,Strong bullish trend across multiple timeframes Bullish MACD crossover Strong volume supporting price action
DRREDDY,72.69,91.89,82.29,Buy,Strong bullish trend across multiple timeframes Bullish MACD crossover Strong volume supporting price action,0.0,0.0,0.0,27811.0,0.0,0.114,0.02,401.356,0.57653,0.20497,0.16993,0.17712,0.09712,13.751,1.893,1.156,52560998400.0,14228500480.0,18.48467,3.672583,2.9962645,11.572,3.095,0.63,1051316518912.0,1034522525696.0,0.019,0.0,0.0,3.1452057,0.311,420.557,0.0,343.11,832374976.0,0.29459,0.51247,1260.0999755859375,0.02380748898140883,-1.369755818285301,,,1406.072510170324,1013.5718351625553,1242.979998779297,1264.621240234375,1240.1297436523437,1231.0961206054687,1259.1595091123795,1256.4952897080377,68.18520787522746,2.664219404341793,-0.3027985759509395,2.9670179802927326,70.18482342862819,75.2501254736164,0.08557273832652693,[],[],1460097.9,2422956.0,Increasing,Sideways,91.89,Strong bullish trend across multiple timeframes Bullish MACD crossover Strong volume supporting price action
ACCELYA,84.18,79.86,82.02,Strong Buy,Strong bearish trend across multiple timeframes Bullish MACD crossover Strong volume supporting price action,0.0,0.0,0.0,2500.0,0.0,0.028,0.089,354.238,0.72636,0.33134997,0.24402,0.46033,0.24159001,22.338,2.938,2.323,1445630976.0,1124602496.0,16.18144,22.33866,7.5177135,10.254,3.77,5.72,20874336256.0,19933216768.0,0.088,0.0,0.0,3.948106,0.375,186.014,0.0,62.6,14926300.0,0.78664,0.00209,1398.4000244140625,-0.02859768373597582,-1.8253299322074423,,,1800.4226584021658,1218.5,1399.4300048828125,1403.91599609375,1384.7624963378905,1397.177448120117,1405.4303110913577,1403.0253721314727,55.98292753330852,2.4049389598849302,1.4497559016267303,0.9551830582581999,35.089785647793995,48.312771145115256,0.03850193285394115,[],[],16185.6,109451.0,Increasing,Sideways,79.86,Strong bearish trend across multiple timeframes Bullish MACD crossover Strong volume supporting price action
POLYCAB,82.81,76.19,79.5,Strong Buy,Strong bullish trend across multiple timeframes RSI indicates overbought conditions Bearish MACD crossover,0.0,0.0,0.0,0.0,0.0,0.257,0.493,1570.11,0.25282,0.13069999,0.093839996,0.23414,0.12966,1.947,2.193,1.135,30948489216.0,17420355584.0,48.3104,43.067112,10.239401,32.41,4.406,0.49,1067238031360.0,1040572678144.0,0.495,0.0,0.0,4.5190816,0.462,692.521,0.0,164.65,150506000.0,0.66462,0.16128,7091.0,-0.21811018082037448,-0.13379339483134967,,,7562.679389071101,4529.65245570749,6971.55,6821.33216796875,6284.956694335938,6223.522238769531,7047.799683141641,6956.077563262297,79.11813643926789,91.72211987934406,94.76950310459895,-3.0473832252548902,79.4501133786848,77.76832955404383,0.08131153302947083,[],[],234297.1,260270.0,Decreasing,Strong Uptrend,76.19,Strong bullish trend across multiple timeframes RSI indicates overbought conditions Bearish MACD crossover
ESCORTS,64.97,93.76,79.37,Buy,Strong bullish trend across multiple timeframes Bullish MACD crossover Declining volume suggests weakening trend,0.0,0.0,0.0,4622.0,0.0,0.082,3.704,924.645,0.28819,0.104729995,0.23209,0.0,0.0,1.015,0.0,0.0,0.0,0.0,31.949495,29.522549,3.850342,32.474,3.615,1.29,392914698240.0,367627960320.0,3.767,0.0,0.0,3.863392,0.131,926.619,0.0,120.85,110011000.0,0.73157996,0.12865,3567.800048828125,2.6645976909911218,-0.2237261561261472,,,4381.818554326479,2761.5532979782647,3461.230017089844,3398.2064892578123,3347.3121752929687,3312.8770947265625,3520.378855167308,3471.140794215311,68.70427415840216,49.238060951996886,45.159804991869876,4.078255960127009,54.66765510150552,57.80895621727117,0.12367308999853215,[],[],126548.45,153281.0,Decreasing,Strong Uptrend,93.76,Strong bullish trend across multiple timeframes Bullish MACD crossover Declining volume suggests weakening trend
WIPRO,72.48,85.78,79.13,Buy,Bullish MACD crossover Strong volume supporting price action High volatility detected,0.0,0.0,0.0,230000.0,0.0,0.008,0.105,85.319,0.30344,0.16057,0.15083,0.16362,0.07532,18.233,2.397,2.295,170585997312.0,116813996032.0,19.45476,9.865902,3.0054104,12.991,2.51,4.41,2611671990272.0,2240346587136.0,0.109,0.0,0.0,2.9259415,0.596,82.987,0.0,25.28,10471400448.0,0.65190005,0.12883,249.41000366210938,-0.49470986019137797,0.30968640377699863,,,317.35771613953585,223.60184572930416,246.36800079345704,253.21370361328124,248.32912521362306,266.7260199737549,249.390053294201,249.36281030076034,69.21366794785519,0.02724299344066594,-0.9243285758606867,0.9515715693013527,64.93229355993616,70.00005233959538,0.07152870148150021,[],[],8100635.8,10117017.0,Increasing,Downtrend,85.78,Bullish MACD crossover Strong volume supporting price action High volatility detected
LTIM,70.45,81.93,76.19,Buy,Bullish MACD crossover Declining volume suggests weakening trend High volatility detected,0.0,0.0,0.0,83889.0,0.0,0.076,0.106,1306.817,0.2755,0.14293,0.121920004,0.22132,0.11885,9.814,3.358,2.972,43308998656.0,26377750528.0,32.25776,25.841476,6.7050934,23.934,3.732,1.27,1521240899584.0,1444321820672.0,0.106,0.0,0.0,3.9302356,0.441,765.612,0.0,0.0,296272992.0,0.68723,0.1725,5133.5,0.2049580324028799,-1.7417934730596274,,,6707.319709479284,3767.94004002627,5122.0,5201.11,5015.232272949219,5276.213079833984,5155.500872432103,5153.2661295420185,61.40845070422535,2.234742890084817,-4.057640474350404,6.292383364435222,43.54566356426389,51.6419719163267,0.05748535174136954,[],[],212037.9,204015.0,Decreasing,Downtrend,81.93,Bullish MACD crossover Declining volume suggests weakening trend High volatility detected
CUMMINSIND,66.28,84.9,75.59,Buy,Strong bullish trend across multiple timeframes Bearish MACD crossover Declining volume suggests weakening trend,0.0,0.0,0.0,3025.0,0.0,0.255,0.306,396.186,0.35834998,0.24406,0.19498,0.0,0.0,0.392,0.0,0.0,0.0,0.0,49.504463,40.682613,14.02679,41.599,9.348,1.35,1060622630912.0,1026636972032.0,0.305,0.0,0.0,9.657871,0.624,272.778,0.0,0.0,277200000.0,0.5128,0.29473,3826.199951171875,-0.23466833840697365,-2.2931575288080985,,,3932.0,2555.8898632002074,3767.1699829101562,3574.88748046875,3287.827890625,3168.1977160644533,3814.2990508015946,3730.9411071333116,52.58644212642298,83.35794366828304,91.26585658100085,-7.907912912717805,61.943440376398705,70.2623833761101,0.10979649593143244,[],[],670099.0,430848.0,Decreasing,Strong Uptrend,84.9,Strong bullish trend across multiple timeframes Bearish MACD crossover Declining volume suggests weakening trend
