symbol,entry_date,entry_price,exit_date,pnl_pct,max_gain_pct,exit_reason,lanes,lane_count,month
ADANIENSOL,2026-02-27,1011.55,2026-03-02,-5.0,0.0,stop_loss,VCP,1,2026-02
ADANIENSOL,2026-03-10,1013.6,2026-03-17,-1.28,1.78,hold_expiry,VCP,1,2026-03
ADANIENSOL,2026-03-20,1009.9,2026-03-23,-5.0,0.0,stop_loss,VCP+SECTOR_RS,2,2026-03
ADANIENSOL,2026-04-06,991.35,2026-04-13,18.56,19.76,hold_expiry,SECTOR_RS,1,2026-04
ADANIENSOL,2026-05-11,1340.4,2026-05-12,-5.0,1.82,stop_loss,SECTOR_RS,1,2026-05
ADANIENSOL,2026-05-15,1303.6,2026-05-22,4.93,7.01,hold_expiry,SECTOR_RS,1,2026-05
ADANIENSOL,2026-05-27,1540.1,2026-06-01,-2.83,2.49,hold_expiry,SECTOR_RS,1,2026-05
ADANIENT,2026-02-18,2211.2,2026-02-25,0.93,1.18,hold_expiry,SECTOR_RS,1,2026-02
ADANIENT,2026-04-06,1902.2,2026-04-13,11.92,13.5,hold_expiry,MEAN_REVERT,1,2026-04
ADANIENT,2026-05-12,2405.2,2026-05-19,13.3,16.54,hold_expiry,SECTOR_RS,1,2026-05
ADANIENT,2026-05-22,2717.3,2026-05-29,8.1,11.42,hold_expiry,SECTOR_RS,1,2026-05
ADANIGREEN,2026-02-18,1000.1,2026-02-25,-3.59,0.49,hold_expiry,SECTOR_RS,1,2026-02
ADANIGREEN,2026-03-27,832.5,2026-04-07,11.15,12.3,hold_expiry,MEAN_REVERT,1,2026-03
ADANIGREEN,2026-04-10,1085.35,2026-04-20,6.21,10.1,hold_expiry,SECTOR_RS,1,2026-04
ADANIGREEN,2026-05-12,1308.0,2026-05-19,5.34,12.46,hold_expiry,SECTOR_RS,1,2026-05
ADANIGREEN,2026-05-22,1362.3,2026-05-29,8.3,12.49,hold_expiry,SECTOR_RS,1,2026-05
ADANIPORTS,2026-02-18,1550.8,2026-02-25,-1.43,2.14,hold_expiry,SECTOR_RS,1,2026-02
ADANIPORTS,2026-04-06,1387.1,2026-04-13,5.64,8.55,hold_expiry,MEAN_REVERT,1,2026-04
ADANIPORTS,2026-05-12,1688.2,2026-05-19,4.42,8.04,hold_expiry,SECTOR_RS,1,2026-05
ADANIPORTS,2026-05-22,1786.9,2026-06-01,-0.19,3.13,hold_expiry,VCP+SECTOR_RS,2,2026-05
ADANIPOWER,2026-03-12,149.11,2026-03-19,1.27,5.59,hold_expiry,IGNITE,1,2026-03
ADANIPOWER,2026-03-24,150.11,2026-04-02,6.57,6.82,hold_expiry,SECTOR_RS,1,2026-03
ADANIPOWER,2026-04-08,169.31,2026-04-16,14.1,14.8,hold_expiry,SECTOR_RS,1,2026-04
ADANIPOWER,2026-05-11,222.03,2026-05-12,-5.0,1.17,stop_loss,SECTOR_RS,1,2026-05
ADANIPOWER,2026-05-15,221.33,2026-05-22,-0.91,2.29,hold_expiry,SECTOR_RS,1,2026-05
ADANIPOWER,2026-05-27,248.91,2026-06-01,-5.0,2.13,stop_loss,SECTOR_RS,1,2026-05
ATGL,2026-03-11,566.9,2026-03-16,-5.0,14.84,stop_loss,SECTOR_RS+IGNITE,2,2026-03
ATGL,2026-03-19,556.15,2026-03-23,-5.0,6.5,stop_loss,SECTOR_RS+IGNITE,2,2026-03
ATGL,2026-03-27,529.1,2026-03-30,-5.0,1.62,stop_loss,SECTOR_RS,1,2026-03
ATGL,2026-04-08,559.0,2026-04-16,6.91,7.87,hold_expiry,SECTOR_RS,1,2026-04
ATGL,2026-05-11,620.5,2026-05-12,-5.0,0.52,stop_loss,SECTOR_RS,1,2026-05
ATGL,2026-05-21,638.1,2026-05-28,26.71,30.07,hold_expiry,SECTOR_RS+IGNITE,2,2026-05
ABCAPITAL,2026-03-27,305.75,2026-03-30,-5.0,0.0,stop_loss,MEAN_REVERT,1,2026-03
ABCAPITAL,2026-04-08,338.4,2026-04-16,-0.13,3.65,hold_expiry,SECTOR_RS,1,2026-04
ABCAPITAL,2026-05-04,345.85,2026-05-11,2.05,8.7,hold_expiry,VCP,1,2026-05
ABCAPITAL,2026-05-14,349.65,2026-05-21,-0.07,3.92,hold_expiry,SECTOR_RS,1,2026-05
ABCAPITAL,2026-05-26,363.05,2026-06-01,-3.44,1.86,hold_expiry,VCP+SECTOR_RS,2,2026-05
ABFRL,2026-03-20,59.98,2026-03-23,-5.0,0.0,stop_loss,IGNITE,1,2026-03
ABFRL,2026-04-08,59.47,2026-04-16,7.25,9.62,hold_expiry,MEAN_REVERT,1,2026-04
ABFRL,2026-05-05,63.99,2026-05-12,-2.48,7.97,hold_expiry,VCP,1,2026-05
ABFRL,2026-05-21,66.76,2026-05-28,-4.04,3.36,hold_expiry,SECTOR_RS,1,2026-05
ABREL,2026-03-18,1217.4,2026-03-20,-5.0,0.0,stop_loss,MEAN_REVERT+IGNITE,2,2026-03
ABREL,2026-04-08,1263.3,2026-04-16,12.56,16.76,hold_expiry,SECTOR_RS+IGNITE,2,2026-04
ABREL,2026-05-11,1378.0,2026-05-12,-5.0,0.64,stop_loss,SECTOR_RS,1,2026-05
ABSLAMC,2026-03-02,876.4,2026-03-10,11.34,19.41,hold_expiry,SECTOR_RS,1,2026-03
ABSLAMC,2026-03-13,932.8,2026-03-20,1.27,6.66,hold_expiry,SECTOR_RS,1,2026-03
ABSLAMC,2026-03-25,939.8,2026-03-27,-5.0,0.0,stop_loss,SECTOR_RS,1,2026-03
ABSLAMC,2026-04-02,917.15,2026-04-10,8.8,10.22,hold_expiry,SECTOR_RS,1,2026-04
ABSLAMC,2026-04-23,1047.45,2026-04-30,-3.08,4.95,hold_expiry,IGNITE,1,2026-04
ABSLAMC,2026-05-11,1059.3,2026-05-18,-5.0,1.6,stop_loss,SECTOR_RS,1,2026-05
ABSLAMC,2026-05-27,1027.3,2026-06-01,-0.78,6.05,hold_expiry,SECTOR_RS,1,2026-05
AEGISLOG,2026-03-17,619.85,2026-03-23,-5.0,3.04,stop_loss,IGNITE,1,2026-03
AEGISLOG,2026-04-10,632.45,2026-04-20,17.08,21.35,hold_expiry,IGNITE,1,2026-04
AEGISLOG,2026-05-11,686.8,2026-05-13,-5.0,0.76,stop_loss,SECTOR_RS,1,2026-05
AEGISLOG,2026-05-20,709.95,2026-05-27,0.57,4.39,hold_expiry,SECTOR_RS,1,2026-05
AFCONS,2026-03-25,282.65,2026-04-06,1.03,1.84,hold_expiry,MEAN_REVERT,1,2026-03
AFCONS,2026-04-09,310.65,2026-04-17,7.39,17.82,hold_expiry,SECTOR_RS,1,2026-04
AFCONS,2026-05-08,340.7,2026-05-15,-1.23,5.39,hold_expiry,VCP,1,2026-05
AFCONS,2026-05-27,318.05,2026-06-01,4.18,7.69,hold_expiry,MEAN_REVERT,1,2026-05
AFFLE,2026-02-27,1377.2,2026-03-09,1.0,2.99,hold_expiry,IGNITE,1,2026-02
AFFLE,2026-04-28,1431.2,2026-05-05,-1.09,3.12,hold_expiry,VCP,1,2026-04
AFFLE,2026-05-11,1637.5,2026-05-13,-5.0,0.82,stop_loss,SECTOR_RS+IGNITE,2,2026-05
AFFLE,2026-05-19,1457.2,2026-05-26,1.99,5.96,hold_expiry,SECTOR_RS,1,2026-05
AFFLE,2026-06-01,1439.5,2026-06-01,0.0,0.0,hold_expiry,SECTOR_RS,1,2026-06
AJANTPHARM,2026-02-23,2978.4,2026-03-02,-0.36,2.54,hold_expiry,VCP,1,2026-02
AJANTPHARM,2026-03-06,2992.0,2026-03-13,1.29,7.89,hold_expiry,VCP+SECTOR_RS,2,2026-03
AJANTPHARM,2026-03-18,3056.6,2026-03-20,-5.0,0.49,stop_loss,SECTOR_RS,1,2026-03
AJANTPHARM,2026-04-13,2897.3,2026-04-21,-3.66,1.27,hold_expiry,MEAN_REVERT,1,2026-04
AJANTPHARM,2026-05-04,2900.7,2026-05-11,5.64,7.39,hold_expiry,VCP,1,2026-05
AJANTPHARM,2026-05-15,3177.2,2026-05-22,-2.19,4.33,hold_expiry,SECTOR_RS,1,2026-05
AJANTPHARM,2026-05-27,3020.8,2026-05-29,-5.0,1.31,stop_loss,SECTOR_RS,1,2026-05
AKUMS,2026-03-02,474.45,2026-03-10,5.51,6.02,hold_expiry,SECTOR_RS,1,2026-03
AKUMS,2026-03-13,470.3,2026-03-20,2.79,3.69,hold_expiry,SECTOR_RS,1,2026-03
AKUMS,2026-03-25,493.65,2026-03-30,-5.0,0.0,stop_loss,VCP+SECTOR_RS,2,2026-03
AKUMS,2026-04-06,493.35,2026-04-13,6.29,6.94,hold_expiry,SECTOR_RS,1,2026-04
AKUMS,2026-05-06,552.15,2026-05-12,-5.0,2.69,stop_loss,VCP,1,2026-05
AKUMS,2026-05-22,520.05,2026-06-01,0.88,6.07,hold_expiry,SECTOR_RS,1,2026-05
APLLTD,2026-03-24,673.2,2026-04-02,-2.53,3.83,hold_expiry,MEAN_REVERT,1,2026-03
APLLTD,2026-05-11,789.2,2026-05-18,-5.0,2.51,stop_loss,SECTOR_RS,1,2026-05
APLLTD,2026-05-25,762.3,2026-06-01,-5.0,2.42,stop_loss,SECTOR_RS,1,2026-05
ALIVUS,2026-02-27,911.8,2026-03-02,-5.0,0.79,stop_loss,VCP,1,2026-02
ALIVUS,2026-03-11,949.75,2026-03-18,-0.82,3.65,hold_expiry,SECTOR_RS,1,2026-03
ALIVUS,2026-03-23,934.15,2026-04-01,5.36,9.73,hold_expiry,VCP+SECTOR_RS,2,2026-03
ALIVUS,2026-04-07,1039.8,2026-04-15,2.41,4.77,hold_expiry,SECTOR_RS,1,2026-04
ALIVUS,2026-05-11,1126.0,2026-05-14,-5.0,0.17,stop_loss,SECTOR_RS,1,2026-05
ALIVUS,2026-05-19,1061.6,2026-05-26,2.74,5.96,hold_expiry,SECTOR_RS,1,2026-05
ALKEM,2026-03-27,5344.5,2026-04-02,-5.0,2.05,stop_loss,MEAN_REVERT,1,2026-03
ALKEM,2026-04-17,5582.0,2026-04-24,-5.0,2.74,stop_loss,VCP,1,2026-04
ALKEM,2026-05-06,5557.0,2026-05-13,-1.7,2.09,hold_expiry,VCP,1,2026-05
ALKEM,2026-05-20,5436.5,2026-05-27,0.28,3.08,hold_expiry,VCP,1,2026-05
ALKYLAMINE,2026-03-24,1414.7,2026-03-27,-5.0,0.94,stop_loss,MEAN_REVERT+IGNITE,2,2026-03
ALKYLAMINE,2026-05-06,1758.5,2026-05-11,-5.0,1.43,stop_loss,IGNITE,1,2026-05
ALKYLAMINE,2026-05-14,1750.0,2026-05-18,-5.0,1.26,stop_loss,SECTOR_RS+IGNITE,2,2026-05
ALKYLAMINE,2026-05-21,1742.4,2026-05-28,-2.89,3.25,hold_expiry,SECTOR_RS,1,2026-05
ALOKINDS,2026-05-04,13.92,2026-05-11,1.01,4.17,hold_expiry,VCP,1,2026-05
ALOKINDS,2026-05-15,13.8,2026-05-18,-5.0,0.0,stop_loss,VCP+SECTOR_RS,2,2026-05
ARE&M,2026-04-08,751.45,2026-04-16,2.83,3.13,hold_expiry,MEAN_REVERT,1,2026-04
ARE&M,2026-05-11,868.9,2026-05-15,-5.0,0.32,stop_loss,SECTOR_RS,1,2026-05
ARE&M,2026-05-25,883.4,2026-06-01,-1.27,4.65,hold_expiry,IGNITE,1,2026-05
AMBER,2026-03-02,7884.5,2026-03-09,-5.0,0.77,stop_loss,SECTOR_RS,1,2026-03
AMBER,2026-04-09,6888.5,2026-04-17,15.53,16.03,hold_expiry,MEAN_REVERT,1,2026-04
AMBER,2026-05-11,8539.5,2026-05-12,-5.0,0.83,stop_loss,SECTOR_RS,1,2026-05
AMBER,2026-05-15,8476.5,2026-05-18,-5.0,0.0,stop_loss,SECTOR_RS,1,2026-05
AMBER,2026-05-25,7461.5,2026-06-01,2.17,4.66,hold_expiry,MEAN_REVERT,1,2026-05
AMBUJACEM,2026-04-06,430.05,2026-04-13,2.55,7.53,hold_expiry,MEAN_REVERT,1,2026-04
AMBUJACEM,2026-05-26,449.7,2026-06-01,-3.29,2.74,hold_expiry,VCP,1,2026-05
ANANDRATHI,2026-03-11,3119.08,2026-03-18,-1.96,0.63,hold_expiry,VCP+SECTOR_RS,2,2026-03
ANANDRATHI,2026-03-30,3029.46,2026-04-08,11.96,12.35,hold_expiry,VCP,1,2026-03
ANANDRATHI,2026-05-05,3605.73,2026-05-12,-2.3,2.39,hold_expiry,VCP,1,2026-05
ANANDRATHI,2026-05-19,3566.7,2026-05-26,0.57,3.17,hold_expiry,VCP,1,2026-05
ANANTRAJ,2026-04-27,500.9,2026-05-04,1.89,2.42,hold_expiry,IGNITE,1,2026-04
ANANTRAJ,2026-05-11,538.55,2026-05-12,-5.0,2.7,stop_loss,SECTOR_RS,1,2026-05
ANANTRAJ,2026-05-21,510.25,2026-05-28,-0.38,1.45,hold_expiry,SECTOR_RS,1,2026-05
ANGELONE,2026-03-18,234.5,2026-03-23,-5.0,0.67,stop_loss,MEAN_REVERT,1,2026-03
ANGELONE,2026-04-06,246.05,2026-04-13,13.98,17.01,hold_expiry,SECTOR_RS,1,2026-04
ANGELONE,2026-05-11,317.2,2026-05-12,-5.0,0.0,stop_loss,SECTOR_RS,1,2026-05
ANGELONE,2026-05-19,328.0,2026-05-26,5.02,7.01,hold_expiry,IGNITE,1,2026-05
ANGELONE,2026-06-01,335.6,2026-06-01,0.0,0.0,hold_expiry,SECTOR_RS,1,2026-06
APARINDS,2026-03-02,10694.0,2026-03-04,-5.0,0.0,stop_loss,SECTOR_RS,1,2026-03
APARINDS,2026-03-09,10142.0,2026-03-11,-5.0,2.54,stop_loss,SECTOR_RS,1,2026-03
APARINDS,2026-03-24,9859.0,2026-04-02,-5.0,9.52,stop_loss,MEAN_REVERT,1,2026-03
APARINDS,2026-04-08,10489.0,2026-04-16,7.41,9.52,hold_expiry,SECTOR_RS,1,2026-04
APARINDS,2026-05-11,12843.0,2026-05-18,-5.0,1.41,stop_loss,SECTOR_RS,1,2026-05
APARINDS,2026-05-21,12855.0,2026-05-28,4.44,5.64,hold_expiry,SECTOR_RS,1,2026-05
APOLLOHOSP,2026-03-04,7666.0,2026-03-11,0.23,2.66,hold_expiry,VCP+SECTOR_RS,2,2026-03
APOLLOHOSP,2026-03-16,7490.0,2026-03-23,-5.0,1.54,stop_loss,VCP,1,2026-03
APOLLOHOSP,2026-04-13,7516.5,2026-04-21,3.03,3.31,hold_expiry,VCP,1,2026-04
APOLLOHOSP,2026-04-29,7709.0,2026-05-06,0.67,1.38,hold_expiry,VCP,1,2026-04
APOLLOHOSP,2026-05-11,8082.0,2026-05-18,-0.76,1.21,hold_expiry,VCP+SECTOR_RS,2,2026-05
APOLLOHOSP,2026-05-26,8258.5,2026-06-01,-1.82,0.81,hold_expiry,SECTOR_RS,1,2026-05
APOLLOTYRE,2026-05-25,388.35,2026-06-01,-0.79,4.54,hold_expiry,MEAN_REVERT,1,2026-05
APTUS,2026-03-25,205.33,2026-03-27,-5.0,0.0,stop_loss,IGNITE,1,2026-03
APTUS,2026-04-08,209.93,2026-04-16,16.5,17.5,hold_expiry,MEAN_REVERT,1,2026-04
APTUS,2026-05-07,272.5,2026-05-14,-1.91,5.44,hold_expiry,IGNITE,1,2026-05
APTUS,2026-05-20,269.1,2026-05-27,-2.38,0.71,hold_expiry,SECTOR_RS,1,2026-05
ASAHIINDIA,2026-03-18,864.4,2026-03-20,-5.0,1.15,stop_loss,IGNITE,1,2026-03
ASAHIINDIA,2026-03-27,817.1,2026-03-30,-5.0,0.16,stop_loss,MEAN_REVERT,1,2026-03
ASAHIINDIA,2026-05-21,852.7,2026-05-28,7.72,11.45,hold_expiry,SECTOR_RS,1,2026-05
ASHOKLEY,2026-02-25,211.61,2026-03-02,-5.0,1.18,stop_loss,VCP,1,2026-02
ASHOKLEY,2026-04-08,172.48,2026-04-16,2.46,3.83,hold_expiry,MEAN_REVERT+IGNITE,2,2026-04
ASHOKLEY,2026-05-22,158.21,2026-05-29,-1.75,4.8,hold_expiry,MEAN_REVERT,1,2026-05
ASIANPAINT,2026-02-18,2432.1,2026-02-25,-0.65,0.6,hold_expiry,MEAN_REVERT,1,2026-02
ASIANPAINT,2026-03-24,2217.3,2026-04-02,-2.18,3.27,hold_expiry,MEAN_REVERT,1,2026-03
ASIANPAINT,2026-05-06,2519.0,2026-05-13,3.91,4.9,hold_expiry,VCP,1,2026-05
ASIANPAINT,2026-05-18,2614.0,2026-05-25,1.68,2.68,hold_expiry,SECTOR_RS,1,2026-05
ASIANPAINT,2026-05-28,2671.9,2026-06-01,-1.48,4.0,hold_expiry,VCP+SECTOR_RS,2,2026-05
ASTERDM,2026-03-04,646.42,2026-03-11,5.64,7.17,hold_expiry,SECTOR_RS,1,2026-03
ASTERDM,2026-03-16,646.37,2026-03-23,-5.0,5.73,stop_loss,SECTOR_RS,1,2026-03
ASTERDM,2026-03-27,665.09,2026-04-07,-1.4,6.23,hold_expiry,SECTOR_RS,1,2026-03
ASTERDM,2026-04-10,681.8,2026-04-20,-0.34,1.61,hold_expiry,VCP,1,2026-04
ASTERDM,2026-04-23,687.6,2026-04-30,1.96,5.37,hold_expiry,VCP,1,2026-04
ASTERDM,2026-05-11,739.85,2026-05-18,2.08,3.66,hold_expiry,SECTOR_RS,1,2026-05
ASTERDM,2026-05-21,759.25,2026-05-28,-2.37,1.33,hold_expiry,SECTOR_RS,1,2026-05
ASTRAZEN,2026-02-19,8903.0,2026-02-26,-0.61,0.52,hold_expiry,VCP,1,2026-02
ASTRAZEN,2026-03-04,8701.5,2026-03-11,0.67,1.82,hold_expiry,SECTOR_RS,1,2026-03
ASTRAZEN,2026-03-25,8415.0,2026-03-27,-5.0,0.32,stop_loss,MEAN_REVERT,1,2026-03
ASTRAZEN,2026-04-13,8725.0,2026-04-21,-3.13,2.01,hold_expiry,IGNITE,1,2026-04
ASTRAZEN,2026-05-07,8549.0,2026-05-14,-2.3,1.42,hold_expiry,VCP,1,2026-05
ASTRAZEN,2026-05-19,8695.5,2026-05-26,3.07,5.23,hold_expiry,VCP+SECTOR_RS,2,2026-05
ASTRAZEN,2026-06-01,8729.0,2026-06-01,0.0,0.0,hold_expiry,SECTOR_RS,1,2026-06
ASTRAL,2026-03-04,1646.9,2026-03-11,6.04,7.4,hold_expiry,SECTOR_RS,1,2026-03
ASTRAL,2026-03-17,1652.0,2026-03-23,-5.0,1.67,stop_loss,SECTOR_RS,1,2026-03
ASTRAL,2026-04-13,1625.1,2026-04-21,-2.62,2.24,hold_expiry,MEAN_REVERT,1,2026-04
ASTRAL,2026-05-26,1578.8,2026-06-01,-2.89,2.28,hold_expiry,SECTOR_RS,1,2026-05
ATUL,2026-02-26,6528.5,2026-03-06,-1.74,4.39,hold_expiry,VCP,1,2026-02
ATUL,2026-04-08,6388.0,2026-04-16,3.3,3.55,hold_expiry,SECTOR_RS,1,2026-04
ATUL,2026-04-21,6557.0,2026-04-28,4.54,7.21,hold_expiry,VCP,1,2026-04
ATUL,2026-05-11,6892.0,2026-05-18,-0.14,3.6,hold_expiry,VCP+SECTOR_RS,2,2026-05
ATUL,2026-05-21,7057.0,2026-05-28,-0.77,0.76,hold_expiry,VCP+SECTOR_RS,2,2026-05
AUROPHARMA,2026-03-05,1225.5,2026-03-12,7.05,7.69,hold_expiry,SECTOR_RS,1,2026-03
