symbol,companyName,FundamentalScore,TechnicalScore,SentimentScore,OverallScore,Recommendation,FundamentalRating,SentimentLabel,NewsCount,Close,Daily_Change,Weekly_Change,52W_High,52W_Low,All_Time_High,All_Time_Low,sma20,sma50,sma100,sma200,ema12,ema26,rsi14,macd,macd_signal,macd_hist,stoch_k,stoch_d,volatility,support_levels,resistance_levels,volume_sma20,current_volume,volume_trend,trend
TECHM,TECHM,0.0,57.66,59.0,38.89,SELL,Strong Sell,Positive,3,1481.4000244140625,-0.9494484757738619,-1.5681046900955176,,,1775.2631099366663,1187.6989464401065,1491.5399963378907,1547.96150390625,1522.2114233398438,1564.989517211914,1498.8563297904752,1506.7111698873487,50.24177944001143,-7.854840096873431,-11.087347236774658,3.2325071399012266,40.734859587516695,53.59642696673328,0.05945119210939478,[],[],1581970.5,2279980.0,Decreasing,Strong Downtrend
POWERGRID,POWERGRID,0.0,55.65,59.0,38.22,SELL,Strong Sell,Positive,3,275.25,0.2914876142782852,-2.8586574656915498,,,355.35694963907457,246.2353454650596,284.0479034423828,290.01845703125,293.94526733398436,293.4063508605957,281.61306785351127,285.0969754891552,32.35229422940621,-3.483907635643959,-2.5383940216849616,-0.9455136139589975,10.295610260674644,11.11843264446236,0.06043996870064325,[],[],9551159.45,12841075.0,Increasing,Strong Downtrend
IOC,IOC,0.0,55.03,59.0,38.01,SELL,Strong Sell,Positive,3,136.6199951171875,-1.3502854370735617,-2.3794225821142545,,,180.1036143657791,108.37539827234785,139.91421508789062,143.22765197753907,140.2879231262207,133.86109870910644,139.59538239963257,140.9473376643709,36.8923834859619,-1.3519552647383364,-1.0702857300435757,-0.28166953469476064,12.39676220610958,22.710018067368626,0.046760230010531874,[],[],8659838.8,10577763.0,Decreasing,Sideways
BHARTIARTL,BHARTIARTL,0.0,54.9,59.0,37.97,SELL,Strong Sell,Positive,3,1888.800048828125,0.4093388624806682,-2.301763765380016,,,2028.8391163856081,1498.472903016313,1899.7100036621093,1929.2031909179686,1877.4463061523438,1746.4469189453125,1902.3875821176753,1906.0694907221919,59.986791869410666,-3.681908604516593,-3.4308377773882355,-0.2510708271283577,43.11698303877998,49.344925657259516,0.05958102087455281,[],[],9113315.3,4339042.0,Decreasing,Sideways
ADANIPORTS,ADANIPORTS,0.0,54.77,59.0,37.92,SELL,Strong Sell,Positive,3,1312.800048828125,-0.1976566472313701,-2.117499506239584,,,1492.2399519265955,990.8294504575306,1339.5500061035157,1388.3,1360.1653271484374,1259.356640625,1332.3618725051235,1351.659964122921,46.640979897369434,-19.29809161779758,-18.431076540039058,-0.8670150777585235,27.529613337024795,29.77058854044164,0.07275544107162175,[],[],2139532.5,1592903.0,Decreasing,Sideways
HCLTECH,HCLTECH,0.0,51.54,59.0,36.85,SELL,Strong Sell,Positive,3,1454.800048828125,0.3448751435787045,-0.7842869547191822,,,1960.5729817705587,1277.8815451777873,1480.645001220703,1559.0244189453124,1570.7954235839843,1648.8128875732423,1479.3502180356531,1498.4024023794811,44.70351671740045,-19.052184343828003,-21.595874718985563,2.54369037515756,24.571422702709157,39.298344099304806,0.04560139068390987,[],[],3062994.8,3404604.0,Decreasing,Strong Downtrend
NTPC,NTPC,0.0,48.77,59.0,35.92,SELL,Strong Sell,Positive,3,327.54998779296875,-0.9824667835338641,-2.804157924935091,,,442.2557615548011,292.79998779296875,335.0074996948242,336.6760015869141,340.60800079345705,338.32922119140625,334.1867170804726,335.51233914855374,39.25373270294153,-1.3256220680811452,-0.46540642342406147,-0.8602156446570838,15.189774248059871,25.945600432226986,0.04777947917922195,[],[],8960352.85,11813425.0,Decreasing,Strong Downtrend
BAJAJFINSV,BAJAJFINSV,0.0,48.71,59.0,35.9,SELL,Strong Sell,Positive,3,1913.5,-0.21380765739135166,-2.665447060548276,,,2133.960243351952,1550.8944651219051,1936.5099975585938,1983.8140405273436,1996.2272106933594,1868.7466778564453,1938.602532909679,1952.7589687626323,48.743951632427105,-14.156435852953337,-13.195235237904093,-0.9612006150492434,21.0283408334731,27.46986068319119,0.05405181328627727,[],[],1011261.8,735268.0,Decreasing,Sideways
ITC,ITC,0.0,48.65,59.0,35.88,SELL,Strong Sell,Positive,3,409.75,2.207534606698136,2.8747207024728327,,,510.8746874239907,383.09149195819776,409.41500091552734,413.367001953125,416.86344055175783,422.3276890563965,405.96461289830984,409.06452453119823,44.45742219993847,-3.099911632888393,-2.9234586387013173,-0.1764529941870756,35.73957974271054,28.96912301981202,0.05983488279795236,[],[],13500318.05,25255050.0,Decreasing,Downtrend
SUNPHARMA,SUNPHARMA,0.0,46.45,59.0,35.15,SELL,Strong Sell,Positive,3,1594.5,0.5549630509619208,-2.8809871739184367,,,1942.2128402851918,1547.9543734723854,1620.3799926757813,1658.0270434570311,1685.8295043945313,1714.1243035888672,1617.5485966221909,1634.2261310985568,52.120528035629256,-16.677534476365963,-13.948225234503473,-2.72930924186249,27.058884636805686,36.37377913193304,0.0548415059264718,[],[],2580281.05,3176534.0,Increasing,Strong Downtrend
HDFC,HDFC,0.0,0.0,59.0,19.67,SELL,Strong Sell,Positive,3,,,,,,,,,,,,,,,,,,,,,,,,,,
