symbol,entry_date,entry_price,exit_date,exit_price,pnl_pct,max_gain_pct,exit_reason,price,dist_20d,rsi,vol_ratio_10_50,range5_pct,ret_20d,bb_width,month
ABSLAMC,2026-05-12,1055.1,2026-05-18,1002.34,-5.0,2.0,stop_loss,1055.0999755859375,6.09,58.4,0.82,7.58,0.7,7.9,2026-05
AFCONS,2026-05-08,340.7,2026-05-15,336.5,-1.23,5.39,hold_expiry,340.70001220703125,6.91,53.8,0.56,6.82,4.86,12.88,2026-05
AFFLE,2026-04-28,1431.2,2026-05-05,1415.6,-1.09,3.12,hold_expiry,1431.199951171875,5.83,54.5,0.95,5.29,-1.03,5.78,2026-04
AJANTPHARM,2026-02-23,2978.4,2026-03-02,2967.8,-0.36,2.54,hold_expiry,2978.39990234375,0.44,66.1,0.74,3.16,10.38,12.54,2026-02
AJANTPHARM,2026-03-06,2992.0,2026-03-13,3030.6,1.29,7.89,hold_expiry,2992.0,2.03,58.6,0.81,7.2,4.88,6.15,2026-03
AJANTPHARM,2026-05-04,2900.7,2026-05-11,3064.2,5.64,7.39,hold_expiry,2900.699951171875,1.3,50.4,0.64,7.23,5.78,7.66,2026-05
AKUMS,2026-03-05,483.0,2026-03-09,458.85,-5.0,0.51,stop_loss,483.0,4.55,57.5,0.59,7.14,7.9,11.12,2026-03
AKUMS,2026-03-20,483.4,2026-03-30,459.23,-5.0,2.81,stop_loss,483.3999938964844,6.14,48.6,0.83,6.81,1.06,9.85,2026-03
AKUMS,2026-04-10,515.95,2026-04-20,533.3,3.36,7.96,hold_expiry,515.9500122070312,0.7,59.0,0.83,7.67,1.72,13.14,2026-04
AKUMS,2026-05-06,552.15,2026-05-12,524.54,-5.0,2.69,stop_loss,552.1500244140625,2.08,52.9,0.91,6.82,12.79,14.96,2026-05
ALIVUS,2026-02-27,911.8,2026-03-02,866.21,-5.0,0.79,stop_loss,911.7999877929688,6.96,42.3,0.93,5.79,-1.1,8.08,2026-02
ALIVUS,2026-03-16,925.45,2026-03-23,934.15,0.94,6.37,hold_expiry,925.4500122070312,3.31,57.5,0.86,5.37,2.68,7.74,2026-03
ALKEM,2026-04-17,5582.0,2026-04-24,5302.9,-5.0,2.74,stop_loss,5582.0,1.86,64.2,0.97,7.15,4.66,9.57,2026-04
