symbol,business_summary,sector,industry,employees,website,revenue_growth,earnings_growth,revenue_per_share,gross_margin,operating_margin,net_margin,roe,roa,debt_to_equity,current_ratio,quick_ratio,operating_cashflow,free_cashflow,pe_ratio,forward_pe,pb_ratio,ev_ebitda,ev_revenue,dividend_yield,market_cap,enterprise_value,quarterly_earnings_growth,quarterly_revenue_growth,peg_ratio,ps_ratio,beta,book_value,eps,forward_eps,shares_outstanding,insider_ownership,institutional_ownership,Close,Daily_Change,Weekly_Change,52W_High,52W_Low,All_Time_High,All_Time_Low,sma20,sma50,sma100,sma200,ema12,ema26,rsi14,macd,macd_signal,macd_hist,stoch_k,stoch_d,volatility,support_levels,resistance_levels,volume_sma20,current_volume,volume_trend,trend,technical_score,technical_analysis,FundamentalScore,TechnicalScore,OverallScore,FundamentalRating,TechnicalAnalysis
WIPRO,,,,230000.0,,0.008,0.105,85.319,0.30344,0.16057,0.15083,0.16362,0.07532,18.233,2.397,2.295,170585997312.0,116813996032.0,19.394695,9.835443,2.996132,13.021,2.516,4.4,2604006637568.0,2245581864960.0,0.109,,,2.9173539,0.596,82.987,,25.28,10471300096.0,0.72822,0.14491001,248.63999938964844,-0.5081846480135543,0.7414617921303046,,,317.35771613953585,223.60184572930416,246.19750213623047,253.8114749145508,248.41147079467774,267.12127723693845,246.95810782290033,248.39045465368633,59.10355650163743,-1.4323468307860026,-2.4929528920432524,1.0606060612572499,78.47447353543305,72.84479654496397,0.06930738649003317,[],[],7879877.2,13568643.0,Increasing,Downtrend,67.81,Bullish MACD crossover Strong volume supporting price action High volatility detected,72.48,67.81,70.15,Buy,Bullish MACD crossover Strong volume supporting price action High volatility detected
TCS,,,,607979.0,,0.013,0.06,707.965,0.38586,0.24457,0.19236,0.51589,0.24604,9.714,2.262,2.019,504099995648.0,341783740416.0,22.422909,19.743988,11.285488,16.6,4.262,1.97,11049646424064.0,10917547868160.0,0.06,,,4.313774,0.333,270.613,,154.68,3618089984.0,0.71785,0.17173,3054.0,-1.5664312552869153,1.048868433303518,,,4514.598505669049,2991.60009765625,3051.790002441406,3227.7667333984373,3313.6270043945315,3642.140985107422,3058.8247008336302,3102.8386577284105,58.11067694582322,-44.01395689478022,-60.10310408519312,16.089147190412895,73.66527378186514,62.02892448667823,0.04347322918350984,[],[],2798773.75,1592625.0,Increasing,Downtrend,61.82,Strong bearish trend across multiple timeframes Bullish MACD crossover Strong volume supporting price action,75.28,61.82,68.55,Buy,Strong bearish trend across multiple timeframes Bullish MACD crossover Strong volume supporting price action
SANOFI,,,,1225.0,,-0.123,-0.326,860.227,0.5084,0.21117,0.18288,0.49431,0.22473,2.672,1.849,1.123,3904999936.0,2485250048.0,33.18845,25.668646,15.400901,23.731,5.98,2.22,120520138752.0,118466199552.0,-0.327,,,6.083496,0.083,339.623,,203.77,23030600.0,0.60605,0.26142,5230.5,-0.7683551508252728,3.043735224586297,,,7464.647161852233,4814.6976141245605,5375.2,5770.79,5928.081967773437,5813.367810058594,5246.904733411533,5437.451353953625,30.04372267332917,-190.54662054209166,-206.03484410994616,15.488223567854504,26.13415866953706,18.713735703557646,0.2259789812816673,[],[],12416.45,7436.0,Increasing,Strong Downtrend,59.99,Strong bearish trend across multiple timeframes Bullish MACD crossover Strong volume supporting price action,65.69,59.99,62.84,Buy,Strong bearish trend across multiple timeframes Bullish MACD crossover Strong volume supporting price action
INFY,,,,323788.0,,0.048,0.056,4.708,0.29834998,0.20886,0.16427,0.30365,0.14858,8.894,2.182,1.954,4184000000.0,3329062400.0,22.188246,20.568308,557.1161,1381.558,317.87,4.21,6166089302016.0,6199740727296.0,0.06,,,316.14484,0.348,2.67,,72.32,4145270016.0,0.15072,0.4894,1487.5,-0.5947623809714586,2.7491918332875454,,,1978.6106902340612,1288.8655111580174,1468.1499877929687,1550.2319995117186,1528.3763134765625,1669.5814233398437,1468.4058146100865,1490.9167524104562,54.893390384010864,-22.510937800369675,-31.968527822800958,9.457590022431283,79.51003580373043,59.64442107973337,0.09670155843686884,[],[],8423612.6,5542535.0,Decreasing,Downtrend,63.53,Bullish MACD crossover Declining volume suggests weakening trend High volatility detected,61.63,63.53,62.58,Buy,Bullish MACD crossover Declining volume suggests weakening trend High volatility detected
RECLTD,,,,,,0.048,0.291,82.008,0.98879,0.96138,0.78215,0.22323999,,666.365,,,,,5.866917,5.548006,1.2619145,,27.96,2.73,989037461504.0,6037669150720.0,0.291,,,4.5801644,0.412,297.643,,67.7,2633220096.0,0.52645,0.23881,375.6000061035156,-1.3137151654800783,-1.5594238972120311,,,608.1615491672904,347.9661372196504,385.00038452148436,388.36389404296875,396.26614868164063,425.4905238342285,381.8880156714232,385.147146444083,38.37302207455787,-3.2591307726597734,-2.6193909814554632,-0.6397397912043101,12.553807286839886,16.420914919374287,0.0556134869554692,[],[],5708218.95,3477610.0,Decreasing,Strong Downtrend,45.44,Strong bearish trend across multiple timeframes Bearish MACD crossover Stochastic indicates oversold conditions,76.96,45.44,61.2,Buy,Strong bearish trend across multiple timeframes Bearish MACD crossover Stochastic indicates oversold conditions
RECLTD,,,,,,0.048,0.291,82.008,0.98879,0.96138,0.78215,0.22323999,,666.365,,,,,5.866917,5.548006,1.2619145,,27.96,2.73,989037461504.0,6037669150720.0,0.291,,,4.5801644,0.412,297.643,,67.7,2633220096.0,0.52645,0.23881,375.6000061035156,-1.3137151654800783,-1.5594238972120311,,,608.1615491672904,347.9661372196504,385.00038452148436,388.36389404296875,396.26614868164063,425.4905238342285,381.8880156714232,385.147146444083,38.37302207455787,-3.2591307726597734,-2.6193909814554632,-0.6397397912043101,12.553807286839886,16.420914919374287,0.0556134869554692,[],[],5708218.95,3477610.0,Decreasing,Strong Downtrend,45.44,Strong bearish trend across multiple timeframes Bearish MACD crossover Stochastic indicates oversold conditions,76.96,45.44,61.2,Buy,Strong bearish trend across multiple timeframes Bearish MACD crossover Stochastic indicates oversold conditions
HDFCLIFE,,,,38159.0,,0.093,0.14,463.277,0.08762,0.02242,0.01885,0.11622,0.00301,17.34,1.261,0.506,,,90.14286,125.19841,9.989741,99.795,1.718,0.26,1700111319040.0,1712963452928.0,0.144,,,1.7053558,0.649,78.956,,6.3,2155450112.0,0.56099,0.26549,788.75,-0.8422920490555486,0.0,,,820.75,582.6893982272248,767.2224975585938,771.4571057128907,751.1061157226562,694.6480508422851,780.6543612632522,772.5317509520137,84.06951202803816,8.122610311238532,3.8074498139401065,4.315160497298425,74.30513144591731,75.04498206494246,0.09711534100456641,[],[],1908523.05,1331759.0,Increasing,Strong Uptrend,82.78,Strong bullish trend across multiple timeframes RSI indicates overbought conditions Bullish MACD crossover,38.68,82.78,60.73,Sell,Strong bullish trend across multiple timeframes RSI indicates overbought conditions Bullish MACD crossover
ABB,,,,3625.0,,0.122,-0.207,595.14,0.40743,0.137,0.14234,0.26575002,0.106759995,1.018,2.011,1.489,11100999680.0,7579737600.0,59.684074,52.10456,14.911834,47.16,8.227,0.84,1072890183680.0,1037554483200.0,-0.207,,,8.506839,0.68,339.529,,97.17,211908000.0,0.75319,0.10686,5063.0,-1.5267917922785146,0.656063618290248,,,8869.40288553787,4647.14638941201,5209.8834228515625,5595.188369140625,5612.719663085937,5939.024794921875,5128.712512041641,5284.770832509095,28.656233063858664,-156.058320467454,-172.3885258472666,16.33020537981261,21.617231215356757,17.94374520000423,0.17268882459231466,[],[],402009.7,219875.0,Decreasing,Strong Downtrend,59.27,Strong bearish trend across multiple timeframes RSI indicates oversold conditions Bullish MACD crossover,61.07,59.27,60.17,Buy,Strong bearish trend across multiple timeframes RSI indicates oversold conditions Bullish MACD crossover
HCLTECH,,,,,,0.054,-0.077,5.174,0.34719002,0.16305,0.14229,0.24607,0.13249,9.377,2.264,2.065,2571000064.0,1986625024.0,23.430809,20.87557,487.14288,1400.245,288.418,3.62,3972661248000.0,4043908841472.0,-0.093,,,283.33652,0.23,3.01,,70.24,2709309952.0,0.61254,0.26304,1466.300048828125,-1.8212220402996304,-1.5773928869505016,,,1960.5729817705587,1277.8815451777873,1479.5749938964843,1581.3570141601563,1570.8375952148438,1655.9023828125,1486.1025308688513,1508.5890473325317,54.36656684326575,-22.486516463680346,-28.823480670041853,6.3369642063615075,49.41006116567215,50.774349577412686,0.035854855773221256,[],[],3197034.05,2802512.0,Increasing,Strong Downtrend,61.89,Strong bearish trend across multiple timeframes Bullish MACD crossover Strong volume supporting price action,55.83,61.89,58.86,Hold,Strong bearish trend across multiple timeframes Bullish MACD crossover Strong volume supporting price action
TATACHEM,,,,4789.0,,-0.018,0.679,581.538,0.6095,0.09922,0.022739999,0.0217,,31.43,,,,,75.044,19.011957,1.1066687,15.752,2.061,1.17,239024521216.0,305345626112.0,0.68,,,1.6131775,0.484,847.634,,49.34,254756000.0,0.38691002,0.30218,938.0499877929688,-0.22867734377236548,0.4874116543083895,,,1233.062605979803,747.3406277921812,954.875,941.0890014648437,897.3398498535156,929.4202777099609,945.9205058296318,946.4139006809129,41.73016851814666,-0.4933948512810957,2.774868287234498,-3.268263138515594,16.475712812771548,17.792196955573726,0.08524466553074209,[],[],1042276.95,200839.0,Decreasing,Uptrend,57.65,Bearish MACD crossover Stochastic indicates oversold conditions Declining volume suggests weakening trend,47.73,57.65,52.69,Hold,Bearish MACD crossover Stochastic indicates oversold conditions Declining volume suggests weakening trend
ADANIENT,,,,11571.0,,-0.138,-0.511,816.548,0.48520002,0.09227,0.06758,0.14343001,,162.597,,,,,42.70573,35.367764,5.6266685,28.063,3.875,0.05,2683910750208.0,3657487351808.0,-0.495,,,2.8436213,0.71,413.193,,,1154179968.0,0.77475,0.15329,2324.89990234375,-2.2000694052825898,1.8977823822842188,,,3209.359124234907,2023.9650760561603,2364.9650024414063,2486.156005859375,2459.335109863281,2430.837392578125,2347.848095678336,2395.7445622187843,47.337155304935926,-47.89646654044827,-58.75317771675173,10.856711176303456,68.26365035925714,62.67805639738236,0.18062378926750267,[],[],949398.75,583704.0,Decreasing,Strong Downtrend,62.69,Bullish MACD crossover Declining volume suggests weakening trend High volatility detected,36.3,62.69,49.49,Sell,Bullish MACD crossover Declining volume suggests weakening trend High volatility detected
