date,symbol,action,score,price,pe_ratio,roe,debt_to_equity,reason,rank,sector,price_7d,price_30d,price_90d,return_7d,return_30d,return_90d,hybrid_fundamental_quality,hybrid_momentum_technical,hybrid_volume_strength,hybrid_multi_timeframe,hybrid_ml_signal,hybrid_risk_adjustment,score_v2,regime,hybrid_growth,hybrid_value,sleeve,fq_score,turbo_score_recomputed,picking_rank,active_oracle,exit_rule
2026-03-24 22:55:43.784902,COALINDIA,NEW POSITION,73.565,442.1,9.126755,35.6775,12.976,🟢 BUY (VALUE) (BEAR: MEDIUM),0,Energy,449.3999938964844,456.0,,1.65,3.14,,,,,,,,,,,,,,,,,
2026-03-24 22:55:43.787669,LUPIN,NEW POSITION,71.47,2331.8,22.971136,19.0753,31.513,🟢 BUY (BEAR: MEDIUM),0,Healthcare,2274.89990234375,2296.10009765625,,-2.44,-1.53,,,,,,,,,,,,,,,,,
2026-03-24 22:55:43.789379,AUROPHARMA,NEW POSITION,70.72500000000001,1281.6,21.32446,10.6754,22.248,🟢 BUY (BEAR: MEDIUM),0,Healthcare,1342.0999755859375,1413.800048828125,,4.72,10.32,,,,,,,,,,,,,,,,,
2026-03-24 22:55:43.791044,DRREDDY,HOLD,63.795,1259.6,18.542618,16.1,18.026,🟡 HOLD,0,Healthcare,1209.5999755859375,1317.0999755859375,,-3.97,4.56,,,,,,,,,,,,,,,,,
2026-03-24 22:55:43.792881,ICICIBANK,HOLD,59.205,1251.2,17.08356,16.798,0.0,🟡 HOLD,0,Financial Services,1212.699951171875,1326.199951171875,,-3.08,5.99,,,,,,,,,,,,,,,,,
2026-03-24 22:55:43.794646,J&KBANK,HOLD,58.489999999999995,113.1,5.779254,14.635,0.0,🟡 HOLD,0,Financial Services,114.2699966430664,126.0500030517578,,1.03,11.45,,,,,,,,,,,,,,,,,
2026-03-24 22:55:43.796182,SBIN,HOLD,58.28,1030.8,11.223868,15.9252,0.0,🟡 HOLD,0,Financial Services,1017.7999877929688,1101.0999755859375,,-1.26,6.82,,,,,,,,,,,,,,,,,
2026-03-24 22:55:43.798069,AXISBANK,HOLD,57.32,1192.7,14.151637,13.625,0.0,🟡 HOLD,0,Financial Services,1193.0999755859375,1365.9000244140625,,0.03,14.52,,,,,,,,,,,,,,,,,
2026-03-24 22:55:43.799852,ICICIGI,HOLD,56.855,1730.1,31.692617,17.266,0.0,🟡 HOLD,0,Financial Services,1694.9000244140625,1772.0999755859375,,-2.03,2.43,,,,,,,,,,,,,,,,,
2026-03-24 22:55:43.801350,INDIANB,HOLD,56.325,871.45,10.192398,15.752,0.0,🟡 HOLD,0,Financial Services,888.0,909.9000244140624,,1.9,4.41,,,,,,,,,,,,,,,,,
2026-03-24 22:55:43.802725,GICRE,HOLD,55.62500000000001,357.3,6.511755,10.142,0.0,🟡 HOLD,0,Financial Services,380.1000061035156,397.8999938964844,,6.38,11.36,,,,,,,,,,,,,,,,,
2026-03-24 22:55:43.804093,KOTAKBANK,HOLD,55.62500000000001,366.85,19.410053,14.0492,0.0,🟡 HOLD,0,Financial Services,356.04998779296875,370.8500061035156,,-2.94,1.09,,,,,,,,,,,,,,,,,
2026-03-24 22:55:43.805469,PNB,STOP LOSS,54.575,107.26,6.9244676,12.706,0.0,🟡 HOLD,0,Financial Services,104.0,113.08999633789062,,-3.04,5.44,,,,,,,,,,,,,,,,,
