symbol,FundamentalScore,TechnicalScore,OverallScore,FundamentalRating,TechnicalAnalysis,business_summary,sector,industry,employees,website,revenue_growth,earnings_growth,revenue_per_share,gross_margin,operating_margin,net_margin,roe,roa,debt_to_equity,current_ratio,quick_ratio,operating_cashflow,free_cashflow,pe_ratio,forward_pe,pb_ratio,ev_ebitda,ev_revenue,dividend_yield,market_cap,enterprise_value,quarterly_earnings_growth,quarterly_revenue_growth,peg_ratio,ps_ratio,beta,book_value,eps,forward_eps,shares_outstanding,insider_ownership,institutional_ownership,Close,Daily_Change,Weekly_Change,52W_High,52W_Low,All_Time_High,All_Time_Low,sma20,sma50,sma100,sma200,ema12,ema26,rsi14,macd,macd_signal,macd_hist,stoch_k,stoch_d,volatility,support_levels,resistance_levels,volume_sma20,current_volume,volume_trend,trend,technical_score,technical_analysis
MUTHOOTFIN,95.29,94.0,94.65,Strong Buy,Strong bullish trend across multiple timeframes Bullish MACD crossover Declining volume suggests weakening trend,0.0,0.0,0.0,30451.0,0.0,0.503,0.732,327.454,1.0,0.70499,0.4705,0.21574,0.04843,367.181,108.996,108.996,0.0,0.0,17.460543,50.82041,3.555699,0.0,15.963,0.97,1080115724288.0,2098469928960.0,0.732,0.0,0.0,8.216542,0.526,756.082,0.0,52.9,401468000.0,0.73370004,0.16305,2688.0,0.5574015861513848,0.1527664147485286,,,2807.0,1734.8190964928322,2651.175,2643.08,2436.2227331542967,2271.873258666992,2674.567484013843,2654.5055062887022,55.873077715888165,20.061977725140878,18.67245485466591,1.3895228704749663,63.05487697643863,62.64796760423064,0.09994435286080532,[],[],845772.9,74101.0,Decreasing,Strong Uptrend,94.0,Strong bullish trend across multiple timeframes Bullish MACD crossover Declining volume suggests weakening trend
INDIAMART,96.87,81.71,89.29,Strong Buy,Bullish MACD crossover Declining volume suggests weakening trend High volatility detected,0.0,0.0,0.0,0.0,0.0,0.123,0.346,238.267,0.55985,0.34025002,0.41307,0.31227,0.0847,1.489,2.251,2.229,6480280064.0,4728988672.0,26.205456,25.937647,7.5586004,25.205,9.321,1.13,154705805312.0,133210488832.0,0.348,0.0,0.0,10.825477,0.477,340.526,0.0,0.0,60011700.0,0.50591,0.27186,2574.0,-3.036242548450596,-1.8905357451602267,,,3136.9157220494017,1876.7170112827462,2578.4400146484377,2582.2100048828124,2428.7629516601564,2297.203560180664,2605.3909280109146,2588.1991283407974,57.29858539802558,17.191799670117234,11.961848505312382,5.229951164804852,69.4993627637546,81.54892254139504,0.07891917675968968,[],[],77864.45,20072.0,Decreasing,Sideways,81.71,Bullish MACD crossover Declining volume suggests weakening trend High volatility detected
POLYCAB,82.77,94.19,88.48,Strong Buy,Strong bullish trend across multiple timeframes Bullish MACD crossover Declining volume suggests weakening trend,0.0,0.0,0.0,0.0,0.0,0.257,0.493,1570.11,0.25282,0.13069999,0.093839996,0.23414,0.12966,1.947,2.193,1.135,30948489216.0,17420355584.0,48.621796,43.389008,10.315932,32.284,4.389,0.5,1075214876672.0,1036508987392.0,0.495,0.0,0.0,4.5528584,0.462,692.521,0.0,164.65,150506000.0,0.66462,0.16143,7149.0,1.2032842582106351,-0.12573344509639872,,,7562.679389071101,4529.65245570749,6953.525,6773.987646484375,6245.706606445313,6220.295678710938,7040.92110862186,6938.6827662972055,69.66019417475728,102.2383423246547,97.10498324504643,5.133359079608269,80.75396825396827,79.30839002267574,0.08149257169734439,[],[],257161.5,96817.0,Decreasing,Strong Uptrend,94.19,Strong bullish trend across multiple timeframes Bullish MACD crossover Declining volume suggests weakening trend
HINDALCO,73.09,94.1,83.59,Buy,Strong bullish trend across multiple timeframes Bullish MACD crossover Declining volume suggests weakening trend,0.0,0.0,0.0,78999.0,0.0,0.127,0.303,1106.423,0.32362998,0.09327,0.068909995,0.14729999,0.0,53.056,0.0,0.0,0.0,0.0,9.225056,9.884206,1.2595668,6.002,0.807,0.71,1558404399104.0,1983253970944.0,0.303,0.0,0.0,0.6342325,1.018,557.136,0.0,0.0,2220740096.0,0.36817002,0.41669998,701.8499755859375,-0.5455627822724574,0.14268388882570093,,,767.0250525807884,542.4717959005195,691.0436370849609,681.3776770019531,655.2643981933594,642.7229791259765,700.2549775271228,691.7079466560747,58.938341904884325,8.54703087104815,7.463177872637627,1.0838529984105234,79.33748962691551,81.21694405441296,0.0900243058247274,[],[],4897035.75,884191.0,Decreasing,Strong Uptrend,94.1,Strong bullish trend across multiple timeframes Bullish MACD crossover Declining volume suggests weakening trend
ACCELYA,84.13,82.11,83.12,Strong Buy,Bullish MACD crossover Declining volume suggests weakening trend High volatility detected,0.0,0.0,0.0,2500.0,0.0,0.028,0.089,354.238,0.72636,0.33134997,0.24402,0.46033,0.24159001,22.338,2.938,2.323,1445630976.0,1124602496.0,16.316093,22.527157,7.581149,10.361,3.809,5.66,21049067520.0,20140709888.0,0.088,0.0,0.0,3.9811542,0.375,186.014,0.0,62.6,14926300.0,0.78664,0.00209,1410.0,-0.16285836922780295,-0.32517854272068325,,,1800.4226584021658,1218.5,1400.4549987792968,1404.413994140625,1384.0254956054687,1398.0960516357422,1408.4316144437416,1404.2250260845408,55.90326403570079,4.20658835920085,1.3896486359276639,2.8169397232731868,53.57808039620113,60.980997062342375,0.039049749136824276,[],[],11011.8,3231.0,Decreasing,Strong Uptrend,82.11,Bullish MACD crossover Declining volume suggests weakening trend High volatility detected
DRREDDY,72.7,91.82,82.26,Buy,Strong bullish trend across multiple timeframes Bullish MACD crossover Strong volume supporting price action,0.0,0.0,0.0,27811.0,0.0,0.114,0.02,401.356,0.57653,0.20497,0.16993,0.17712,0.09712,13.751,1.893,1.156,52560998400.0,14228500480.0,18.363932,3.6443126,2.9731998,11.601,3.103,0.63,1040925458432.0,1037102874624.0,0.019,0.0,0.0,3.114119,0.311,420.557,0.0,343.11,832374976.0,0.29459,0.51376,1250.4000244140625,-1.013293797703041,0.40147742909772965,,,1406.072510170324,1013.5718351625553,1244.4650024414063,1266.4225634765626,1237.2742260742189,1231.206605834961,1256.8717441396163,1254.971321460231,67.02601404620711,1.9004226793854286,-2.205306881815204,4.105729561200633,78.13583783817141,86.93047963691227,0.09281018029170046,[],[],1437462.8,442310.0,Increasing,Sideways,91.82,Strong bullish trend across multiple timeframes Bullish MACD crossover Strong volume supporting price action
BHARTIARTL,95.42,63.89,79.66,Strong Buy,Bullish MACD crossover Declining volume suggests weakening trend High volatility detected,0.0,0.0,0.0,28424.0,0.0,0.285,0.418,317.559,0.65817,0.31081,0.19215,0.29464,0.07039,126.505,0.424,0.177,1072185999360.0,252356493312.0,32.059273,28.114546,9.629735,15.039,7.519,0.84,11351216881664.0,13830879969280.0,0.43,0.0,0.0,6.171105,0.155,196.589,0.0,0.0,5698039808.0,0.53428,0.31786,1893.199951171875,-0.6037696379907254,-1.8253512132620386,,,2028.8391163856081,1498.472903016313,1902.9850036621094,1927.8125756835936,1874.237509765625,1743.1380206298827,1907.4084605156058,1908.7072798158185,40.98765432098765,-1.298819300212699,-3.745312465969871,2.446493165757172,55.19717851017106,63.96299905842113,0.06067914138978387,[],[],9164468.35,1136567.0,Decreasing,Sideways,63.89,Bullish MACD crossover Declining volume suggests weakening trend High volatility detected
ESCORTS,65.04,93.77,79.41,Buy,Strong bullish trend across multiple timeframes Bullish MACD crossover Declining volume suggests weakening trend,0.0,0.0,0.0,4622.0,0.0,0.082,3.704,924.645,0.28819,0.104729995,0.23209,0.0,0.0,1.015,0.0,0.0,0.0,0.0,31.711962,29.352917,3.8282185,32.31,3.596,1.3,390242041856.0,365770768384.0,3.767,0.0,0.0,3.8371127,0.131,926.619,0.0,120.85,110011000.0,0.73157996,0.12866999,3547.5,-0.10418875937002747,-2.124430955993928,,,4381.818554326479,2761.5532979782647,3457.935021972656,3393.3507470703125,3344.9419946289063,3313.4604614257814,3522.879904391347,3468.763613199005,68.28769805002422,54.11629119234203,45.29374578927186,8.822545403070173,60.725677830941,63.84752876704857,0.12348274714553338,[],[],119971.0,9990.0,Decreasing,Strong Uptrend,93.77,Strong bullish trend across multiple timeframes Bullish MACD crossover Declining volume suggests weakening trend
M&M,62.89,93.95,78.42,Buy,Strong bullish trend across multiple timeframes Bullish MACD crossover Declining volume suggests weakening trend,0.0,0.0,0.0,324000.0,0.0,0.241,0.243,1520.778,0.3937,0.16755,0.08091,0.0,0.0,145.369,0.0,0.0,0.0,0.0,26.979713,25.09785,4.778886,15.144,2.784,0.76,4013699104768.0,4723327369216.0,0.244,0.0,0.0,2.3653731,0.509,690.119,0.0,0.0,1217010048.0,0.24476999,0.49869,3295.89990234375,-1.0478007077204698,-2.9361583356448895,,,3432.0,2405.672549234822,3273.6599975585937,3209.9204931640625,3062.9719873046874,2978.8482958984373,3322.7634856905443,3274.837395513362,55.87627534005573,47.92609017718223,45.89845972267899,2.027630454503239,70.12482706365756,79.73535248993845,0.10534822986579666,[],[],2589909.05,793582.0,Decreasing,Strong Uptrend,93.95,Strong bullish trend across multiple timeframes Bullish MACD crossover Declining volume suggests weakening trend
CAPLIPOINT,68.76,87.35,78.06,Buy,Strong bullish trend across multiple timeframes Bullish MACD crossover Declining volume suggests weakening trend,0.0,0.0,0.0,0.0,0.0,0.112,0.233,261.636,0.60749,0.31647,0.28417,0.0,0.0,0.174,0.0,0.0,0.0,0.0,28.805407,21.294706,5.8388486,22.257,7.572,0.14,162112028672.0,150591078400.0,0.233,0.0,0.0,8.151535,0.048,365.072,0.0,0.0,76011696.0,0.73293996,0.04405,2128.5,2.110817941952514,0.35834306219975076,,,2637.3363990620282,1596.7817537505716,2096.214984130859,2074.1719970703125,2041.9638598632812,2090.9677960205076,2125.96651285616,2104.4360984537707,66.96229606121042,21.530414402389397,19.85643451882394,1.6739798835654582,68.50047289129655,75.45299026018036,0.14039211303517676,[],[],157774.75,35839.0,Decreasing,Strong Uptrend,87.35,Strong bullish trend across multiple timeframes Bullish MACD crossover Declining volume suggests weakening trend
