symbol,sector,qty,avg_cost,last_mark,unrealized_pl_pct,entry_date,entry_score,peak_score,last_score
LUPIN,Healthcare,4,2297.5953,2460.1,7.0728,2026-03-18,72.31,83.2,83.2
ONGC,Energy,3,268.8185,283.9,5.6103,2026-03-24,64.9,78.6,70.2
OIL,Energy,19,480.48,452.85,-5.7505,2026-03-31,62.3,70.7,61.0
MARICO,Consumer Defensive,11,832.9822,832.9822,0.0,2026-05-08,83.5,83.5,83.5
ADANIPORTS,Industrials,5,1742.1404,1742.1404,0.0,2026-05-08,81.9,81.9,81.9
POLYCAB,Industrials,1,9039.03,9039.03,0.0,2026-05-08,81.1,81.1,81.1
NESTLEIND,Consumer Defensive,6,1478.0766,1478.0766,0.0,2026-05-08,80.8,80.8,80.8
MAHABANK,Financial Services,115,85.3953,85.3953,0.0,2026-05-08,80.5,80.5,80.5
AUROPHARMA,Healthcare,6,1486.485,1486.485,0.0,2026-05-08,80.0,80.0,80.0
CGPOWER,Industrials,11,861.2103,861.2103,0.0,2026-05-08,79.9,79.9,79.9
