symbol,sector,entry_date,exit_date,holding_days,qty,entry_price,exit_price,gross_pl,entry_costs,exit_costs,tax_type,tax,net_pl,net_return_pct,entry_score,peak_score,exit_score,peak_price,exit_reason,slippage_bps
ABB,Industrials,2026-03-18,2026-03-20,2,1,6326.8205,6243.75,-83.07,7.51,6.48,STCG,0.0,-97.06,-1.5341,76.72,76.72,69.08,6337.5,"MOMENTUM EXHAUSTION: 🕯️ Upper wicks: 3 rejections | ⚠️ Bearish divergence (price up, RSI down)",10.0
J&KBANK,Financial Services,2026-03-18,2026-03-24,6,81,121.2211,112.887,-675.06,11.66,9.48,STCG,0.0,-696.2,-7.0904,81.43,81.43,57.5,123.51,hard_stop:HARD_STOP - HARD STOP: loss -9.0% <= -8% with score 57.5 (no override) — full exit,10.0
MUTHOOTFIN,Financial Services,2026-03-18,2026-03-24,6,2,3443.44,3137.859,-611.16,8.18,6.51,STCG,0.0,-625.85,-9.0875,79.4,79.4,49.7,3443.44,hard_stop:HARD_STOP - HARD STOP: loss -10.3% <= -8% with score 49.7 (no override) — full exit,10.0
NATIONALUM,Basic Materials,2026-03-18,2026-03-24,6,25,392.392,358.1914,-855.02,11.65,9.29,STCG,0.0,-875.95,-8.9293,71.9,71.9,56.1,392.392,hard_stop:HARD_STOP - HARD STOP: loss -10.3% <= -8% with score 56.1 (no override) — full exit,10.0
AUROPHARMA,Healthcare,2026-03-24,2026-03-31,7,2,1304.303,1330.8678,53.13,3.1,2.76,STCG,9.45,37.82,1.4497,72.1,72.1,67.4,1317.1,"MOMENTUM EXHAUSTION: 🕯️ Upper wicks: 3 rejections | ⚠️ Bearish divergence (price up, RSI down)",10.0
HCLTECH,Technology,2026-03-18,2026-03-31,13,7,1327.8265,1398.3003,493.32,11.04,10.15,STCG,94.43,377.7,4.0636,74.54,74.54,53.9,1381.3,rotation: HCLTECH(53.9) -> OIL(62.3),10.0
ICICIBANK,Financial Services,2026-03-18,2026-04-01,14,7,1287.286,1226.8719,-422.9,10.7,8.91,STCG,0.0,-442.5,-4.9107,79.38,79.38,56.6,1289.3,hard_stop:HARD_STOP - HARD STOP: loss -6.3% <= -6% threshold,10.0
AUROPHARMA,Healthcare,2026-03-24,2026-04-01,8,1,1304.303,1330.8678,26.56,1.55,1.38,STCG,4.73,18.91,1.4497,72.1,72.1,68.1,1317.1,"MOMENTUM EXHAUSTION: 🕯️ Upper wicks: 3 rejections | ⚠️ Bearish divergence (price up, RSI down)",10.0
AUROPHARMA,Healthcare,2026-03-24,2026-04-02,9,1,1304.303,1334.1645,29.86,1.55,1.38,STCG,5.39,21.54,1.6517,72.1,72.1,68.1,1342.1,"MOMENTUM EXHAUSTION: 🕯️ Upper wicks: 3 rejections | ⚠️ Bearish divergence (price up, RSI down)",10.0
NTPC,Utilities,2026-03-18,2026-04-03,16,25,385.385,358.4412,-673.6,11.44,9.29,STCG,0.0,-694.33,-7.2066,72.39,72.39,50.2,385.385,hard_stop:HARD_STOP - HARD STOP: loss -8.1% <= -8% threshold,10.0
RELIANCE,Energy,2026-03-24,2026-04-07,14,6,1421.42,1293.705,-766.29,10.13,8.05,STCG,0.0,-784.47,-9.1982,69.4,69.4,46.8,1421.42,hard_stop:HARD_STOP - HARD STOP: loss -8.2% <= -8% threshold,10.0
AUROPHARMA,Healthcare,2026-03-24,2026-04-08,15,2,1304.303,1361.3373,114.07,3.1,2.82,STCG,21.63,86.52,3.3166,72.1,72.1,61.3,1342.1,"MOMENTUM EXHAUSTION: 📉 Volume declining on rally | 🕯️ Upper wicks: 3 rejections | ⚠️ Bearish divergence (price up, RSI down)",10.0
AUROPHARMA,Healthcare,2026-03-24,2026-04-10,17,1,1304.303,1343.655,39.35,1.55,1.39,STCG,7.28,29.13,2.2332,72.1,72.1,65.6,1342.1,"MOMENTUM EXHAUSTION: 📉 Volume declining on rally | 🕯️ Upper wicks: 3 rejections | ⚠️ Bearish divergence (price up, RSI down)",10.0
ONGC,Energy,2026-03-24,2026-04-16,23,18,268.8185,287.712,340.08,5.74,5.37,STCG,65.79,263.17,5.4389,64.9,75.1,74.4,288.6,MOMENTUM EXHAUSTION: ⚠️ RSI overbought: 77 | 📉 Volume declining on rally,10.0
ABB,Industrials,2026-03-24,2026-04-17,24,1,6206.2,6873.12,666.92,7.44,7.13,STCG,130.47,521.88,8.409,62.17,78.7,78.7,6890.0,MOMENTUM EXHAUSTION: ⚠️ RSI overbought: 79 | 📉 Volume declining on rally,10.0
NMDC,Basic Materials,2026-04-07,2026-04-17,10,87,81.061,87.4125,552.58,8.37,7.89,STCG,107.26,429.06,6.0839,65.4,81.9,81.9,87.46,MOMENTUM EXHAUSTION: 🔴 RSI extreme: 89 (heavy exhaustion) | 🕯️ Upper wicks: 6 rejections,10.0
NATIONALUM,Basic Materials,2026-04-07,2026-04-17,10,17,408.408,431.568,393.72,8.07,7.61,STCG,75.61,302.43,4.3559,65.3,79.4,79.4,432.7,MOMENTUM EXHAUSTION: 🔴 RSI extreme: 89 (heavy exhaustion) | 📉 Volume declining on rally,10.0
GICRE,Financial Services,2026-04-07,2026-04-18,11,12,381.431,403.596,265.98,5.43,5.02,STCG,51.1,204.42,4.466,65.4,72.4,71.7,400.4,MOMENTUM EXHAUSTION: ⚠️ RSI overbought: 78 | 🕯️ Upper wicks: 3 rejections,10.0
NMDC,Basic Materials,2026-04-07,2026-04-18,11,22,81.061,89.8101,192.48,2.12,2.05,STCG,37.66,150.65,8.4477,65.4,81.9,81.9,89.78,MOMENTUM EXHAUSTION: 🔴 RSI extreme: 90 (heavy exhaustion) | 🕯️ Upper wicks: 5 rejections,10.0
NATIONALUM,Basic Materials,2026-04-07,2026-04-18,11,4,408.408,432.567,96.64,1.9,1.79,STCG,18.59,74.35,4.5514,65.3,79.4,79.4,438.75,MOMENTUM EXHAUSTION: 🔴 RSI extreme: 89 (heavy exhaustion) | 📉 Volume declining on rally,10.0
GICRE,Financial Services,2026-04-07,2026-04-19,12,6,381.431,403.596,132.99,2.72,2.51,STCG,25.55,102.21,4.466,65.4,72.4,70.0,400.4,MOMENTUM EXHAUSTION: ⚠️ RSI overbought: 78 | 🕯️ Upper wicks: 3 rejections,10.0
NMDC,Basic Materials,2026-04-07,2026-04-19,12,5,81.061,89.8101,43.75,0.48,0.47,STCG,8.56,34.24,8.4477,65.4,81.9,78.3,89.78,MOMENTUM EXHAUSTION: 🔴 RSI extreme: 90 (heavy exhaustion) | 🕯️ Upper wicks: 5 rejections,10.0
NATIONALUM,Basic Materials,2026-04-07,2026-04-19,12,2,408.408,432.567,48.32,0.95,0.9,STCG,9.29,37.18,4.5514,65.3,79.4,75.0,438.75,MOMENTUM EXHAUSTION: 🔴 RSI extreme: 89 (heavy exhaustion) | 📉 Volume declining on rally,10.0
