symbol,sector,entry_date,exit_date,holding_days,qty,entry_price,exit_price,gross_pl,entry_costs,exit_costs,tax_type,tax,net_pl,net_return_pct,entry_score,peak_score,exit_score,peak_price,exit_reason,slippage_bps
J&KBANK,Financial Services,2026-03-18,2026-03-24,6,82,121.2211,112.887,-683.4,11.8,9.6,STCG,0.0,-704.8,-7.0904,81.43,81.43,57.5,123.51,hard_stop:HARD_STOP - HARD STOP: loss -9.0% <= -8% with score 57.5 (no override) — full exit,10.0
MUTHOOTFIN,Financial Services,2026-03-18,2026-03-24,6,2,3443.44,3137.859,-611.16,8.18,6.51,STCG,0.0,-625.85,-9.0875,79.4,79.4,49.7,3443.44,hard_stop:HARD_STOP - HARD STOP: loss -10.3% <= -8% with score 49.7 (no override) — full exit,10.0
NATIONALUM,Basic Materials,2026-03-18,2026-03-24,6,25,392.392,358.1914,-855.02,11.65,9.29,STCG,0.0,-875.95,-8.9293,71.9,71.9,56.1,392.392,hard_stop:HARD_STOP - HARD STOP: loss -10.3% <= -8% with score 56.1 (no override) — full exit,10.0
HCLTECH,Technology,2026-03-18,2026-03-31,13,7,1327.8265,1398.3003,493.32,11.04,10.15,STCG,70.82,401.31,4.3176,74.54,74.54,53.9,1381.3,rotation: HCLTECH(53.9) -> OIL(62.3),10.0
ICICIBANK,Financial Services,2026-03-18,2026-04-01,14,7,1287.286,1226.8719,-422.9,10.7,8.91,STCG,0.0,-442.5,-4.9107,79.38,79.38,56.6,1289.3,hard_stop:HARD_STOP - HARD STOP: loss -6.3% <= -5% threshold,10.0
ABB,Industrials,2026-03-18,2026-04-01,14,1,6326.8205,6173.82,-153.0,7.51,6.4,STCG,0.0,-166.92,-2.6382,76.72,76.72,56.0,6337.5,hard_stop:HARD_STOP - HARD STOP: loss -6.1% <= -5% threshold,10.0
RELIANCE,Energy,2026-03-24,2026-04-01,8,6,1421.42,1382.8158,-231.63,10.13,8.61,STCG,0.0,-250.36,-2.9355,69.4,69.4,53.2,1421.42,hard_stop:HARD_STOP - HARD STOP: loss -5.5% <= -5% threshold,10.0
DRREDDY,Healthcare,2026-03-18,2026-04-03,16,7,1285.0838,1218.8799,-463.43,10.68,8.85,STCG,0.0,-482.96,-5.3688,72.88,72.88,57.1,1300.7,hard_stop:HARD_STOP - HARD STOP: loss -7.4% <= -7% threshold,10.0
NTPC,Utilities,2026-03-18,2026-04-03,16,25,385.385,358.4412,-673.6,11.44,9.29,STCG,0.0,-694.33,-7.2066,72.39,72.39,50.2,385.385,hard_stop:HARD_STOP - HARD STOP: loss -8.1% <= -7% threshold,10.0
OIL,Energy,2026-03-31,2026-04-16,16,20,480.48,465.3842,-301.92,11.41,9.65,STCG,0.0,-322.98,-3.361,62.3,65.7,65.7,480.48,rotation: OIL(65.7) -> ICICIBANK(78.9),10.0
ADANIPOWER,Utilities,2026-04-07,2026-04-19,12,12,163.163,198.3015,421.66,2.32,2.47,STCG,62.53,354.34,18.0974,61.9,72.3,62.1,198.5,scale_out_20: profit 21.7% AND score dropped 10.2pts (peak 72.3 -> 62.1),10.0
GICRE,Financial Services,2026-04-07,2026-04-22,15,25,381.431,397.602,404.27,11.32,10.31,STCG,57.4,325.25,3.4108,65.4,72.4,67.7,400.4,rotation: GICRE(67.7) -> NESTLEIND(80.8),10.0
ICICIBANK,Financial Services,2026-04-16,2026-04-29,13,7,1353.352,1293.4053,-419.63,10.97,9.39,STCG,0.0,-439.99,-4.6445,78.9,78.9,69.7,1388.4,rotation: ICICIBANK(69.7) -> ADANIPORTS(80.3),10.0
NATIONALUM,Basic Materials,2026-04-07,2026-05-08,31,23,408.408,402.7968,-129.06,10.92,9.61,STCG,0.0,-149.59,-1.5925,65.3,79.4,64.7,441.5,rotation: NATIONALUM(64.7) -> MARICO(83.5),10.0
