,equity,benchmark,drawdown_pct
2025-06-02,99924.34297111815,100000.0,0.0
2025-06-03,99106.08030151366,99295.61666197416,-0.8188822115557937
2025-06-04,99157.49049591064,99609.97713217624,-0.767433092283798
2025-06-05,99244.49965118407,100138.77629525134,-0.6803580586269953
2025-06-06,100195.23995422362,101158.94247753381,0.0
2025-06-09,100714.2960125244,101564.12943319422,0.0
2025-06-10,100454.34616053465,101568.38075120158,-0.2581062096263076
2025-06-11,99829.39614069823,101718.6861783725,-0.8786238963693238
2025-06-12,97640.89564641113,100694.26867808269,-3.0516028883636137
2025-06-13,97115.29414589843,100008.09172795452,-3.5734766652972594
2025-06-16,98355.66210319824,100930.14570878836,-2.341905769795438
2025-06-17,96989.67718598632,100553.47735292079,-3.6982027120309735
2025-06-18,96962.84849641113,100386.18245787658,-3.7248411244881874
2025-06-19,96057.77123176269,100310.11705427282,-4.623499309554468
2025-06-20,96891.30152045898,101601.35612303187,-3.7958806678150325
2025-06-23,96821.4746008789,101032.91223422643,-3.8652123539258176
2025-06-24,96176.7027701416,101326.0319185479,-4.5054112693381
2025-06-25,96649.621288208,102136.82464000699,-4.035846831328627
2025-06-26,96695.10169592284,103367.77875508922,-3.99068898431435
2025-06-27,96470.4009970703,103727.0546371014,-4.213796038376061
2025-06-30,96546.74871782225,103238.51656184693,-4.137989798572283
2025-07-01,96587.40802192382,103338.65169528418,-4.0976188624575975
2025-07-02,96353.7537552246,102980.99573927853,-4.329615982975776
2025-07-03,96221.7629791626,102786.3912623878,-4.460670640842423
2025-07-04,96732.27375186767,103011.74272509011,-3.9537805637459233
2025-07-07,96541.5280472168,103012.95964511452,-4.1431734426150335
2025-07-08,96507.97788394775,103260.56335969176,-4.176485658057494
2025-07-09,96694.93818057861,103072.83369073115,-3.99085133995869
2025-07-10,96010.75002698973,102583.89260949455,-4.6701870258317175
2025-07-11,95560.65124158934,101752.87056814914,-5.117093575567644
2025-07-14,95146.38072121581,101479.57719773188,-5.528425965084627
2025-07-15,95989.56916726074,101938.78275915123,-4.691217664546965
2025-07-16,95592.52325737305,102004.52804878175,-5.085447605684923
2025-07-17,95631.18252861328,101597.50781100662,-5.0470625175983
2025-07-18,94888.54339134521,101018.75171030604,-5.784434635232638
2025-07-21,93984.08377864989,101513.55613347843,-6.682479548918829
2025-07-22,93675.97486141356,101392.99412820284,-6.988403265248044
2025-07-23,93702.96302822264,102036.28650058765,-6.961606506617346
2025-07-24,93424.4515314453,101397.84600414432,-7.238142716275908
2025-07-25,92563.2224665039,100487.12360327807,-8.093263686226704
2025-07-28,92521.4952967285,99855.56581684295,-8.134694914391371
2025-07-29,93180.82407022704,100422.79278562395,-7.480042298424571
2025-07-30,93158.13500620116,100560.15460889888,-7.502570444799206
2025-07-31,92974.47902910155,100209.37346082335,-7.68492387859252
2025-08-01,91962.72009531248,99388.063073439,-8.68950711438583
2025-08-04,91870.92647421874,100024.88364387579,-8.780649707570753
2025-08-05,91449.02559531249,99728.72956157137,-9.199558338827806
2025-08-06,90130.74054785154,99423.86738922216,-10.508493713103784
2025-08-07,90493.24225683592,99512.67884476992,-10.148562975029318
2025-08-08,89098.64026054686,98570.60099807987,-11.533274035428953
2025-08-11,89050.21566152343,99467.77133503792,-11.581355192663489
2025-08-12,88538.70909248045,99072.69113724258,-12.089234003611404
2025-08-13,88955.51017890623,99606.53972821118,-11.675388995576053
2025-08-14,88857.70909248045,99654.89254398632,-11.772496447345981
2025-08-18,90071.82917561034,100648.75270833848,-10.566987268213246
2025-08-19,91104.91970600585,101068.3135440275,-9.54122372589843
2025-08-20,91465.76070942382,101351.12101645378,-9.182941915168097
2025-08-21,90759.72993244628,101485.44053966769,-9.883965309989573
2025-08-22,90599.1100593994,100621.04012050985,-10.043446018693425
2025-08-25,90743.5290047119,101016.12031830518,-9.90005133588242
2025-08-26,90170.19909443358,99981.5960601503,-10.469315018375935
2025-08-28,89529.0503517578,99127.31030093563,-11.105916541754556
2025-08-29,89498.72850567626,98827.71091258808,-11.136023336203849
2025-09-01,90551.86580742185,99629.60589412844,-10.090355200257562
2025-09-02,91375.18515861814,99445.716635115,-9.272875076984988
2025-09-03,91811.21512687986,99993.7336520821,-8.83993756411442
2025-09-04,91278.02530754393,100071.61653364441,-9.369345841236898
2025-09-05,91500.5459984619,100098.72066146084,-9.148403333839239
2025-09-08,92927.28534782713,100228.79676874545,-7.731782848116131
2025-09-09,92518.67595756834,100614.97132454395,-8.137494257952104
2025-09-10,91934.47507561033,101037.76411016793,-8.71755181193169
2025-09-11,92095.97506035154,101168.85168344688,-8.557197233549763
2025-09-12,92160.0353936035,101607.8279249799,-8.493591235406273
2025-09-15,92098.33651054685,101426.57005796727,-8.554852531467926
2025-09-16,92582.28620231932,102113.96392811985,-8.074335156146873
2025-09-17,92434.49778068846,102482.74601006297,-8.221075417938984
2025-09-18,93030.12485588377,102860.42583192485,-7.629672708713631
2025-09-19,92727.03522575682,102469.80240616697,-7.930612736223985
2025-09-22,92638.89499748533,101965.27842695544,-8.018127847544942
2025-09-23,92953.88575065916,101832.37337571797,-7.705371103323988
2025-09-24,92416.87571037596,101376.81067229378,-8.238572507240294
2025-09-25,91813.33899318846,100704.99179803804,-8.837828760903077
2025-09-26,90692.44832241209,99749.55943939181,-9.95076973865362
2025-09-29,90885.76621862792,99669.45607388885,-9.758822910974075
2025-09-30,91591.41119235838,99573.16135039876,-9.058182583167273
2025-10-01,91321.23019260252,100484.29465932523,-9.326447378189284
2025-10-03,92164.8506149658,100718.74931597637,-8.488810165038952
2025-10-06,92600.54562148436,101460.76234982199,-8.056205238262349
2025-10-07,92954.84626540526,101584.76966114072,-7.704417400836727
2025-10-08,92425.17562636717,101333.31763453821,-8.230331456744167
2025-10-09,93210.96568068846,101882.14066346954,-7.450114461310298
2025-10-10,92982.93684157713,102301.08513706826,-7.676526051461286
2025-10-13,93094.42634353026,102066.425026387,-7.565827266514946
2025-10-14,92292.30634841307,101735.27264026368,-8.362258385903832
2025-10-15,93373.9654823242,102455.64188224656,-7.288270703185362
2025-10-16,93269.01722487791,103514.64677829512,-7.3924746360939935
2025-10-17,92484.406323999,104018.55439541636,-8.17152084099556
2025-10-20,93226.51681289061,104557.87122441673,-7.434673622404753
2025-10-21,93301.61649855955,104660.83530180683,-7.3601065662446175
2025-10-23,93168.8866554199,104753.08416131965,-7.491895049503383
2025-10-24,92596.88644179686,104363.6697535081,-8.059838465949355
2025-10-27,94031.25556716307,105055.10948763795,-6.635642316886425
2025-10-28,93559.70466948241,104934.3341262542,-7.103848834084358
2025-10-29,94281.7638278076,105410.53705762488,-6.386910736006013
2025-10-30,95122.84396696776,104698.2595435965,-5.551795789607972
2025-10-31,94763.11522246092,104068.11622913783,-5.90897322990116
2025-11-03,95369.90925815428,104235.00811819993,-5.306482759612907
2025-11-04,95117.72882297362,103564.61161799869,-5.5568746554658155
2025-11-06,94285.80748203123,103208.77313995158,-6.382895760591667
2025-11-07,94835.25837924803,103138.38142840966,-5.837341734032753
2025-11-10,95453.7077811035,103470.33982649722,-5.223278560937084
2025-11-11,95942.17804172362,103958.26944173951,-4.7382726779993
2025-11-12,96064.40776279295,104689.97026368997,-4.6169098467939484
2025-11-13,96569.21876743162,104703.52232759818,-4.115679113298187
2025-11-14,96273.36831882322,104828.54110491122,-4.409431301737854
2025-11-17,97018.94702365721,105246.87711849774,-3.669140464832965
2025-11-18,96869.20788791502,104828.54110491122,-3.817817605686502
2025-11-19,96787.11871555174,105405.4797276533,-3.8993245770037377
2025-11-20,96750.87863376463,105969.87775248148,-3.9353076332548587
2025-11-21,95742.34642504882,105468.19061930088,-4.936687028877495
2025-11-24,95950.89758657225,105028.60591775565,-4.72961497477955
2025-11-25,96244.97771047361,104726.38303948534,-4.43762055537279
2025-11-26,96855.51778005369,106023.0824441981,-3.831410619194364
2025-11-27,97212.86774038084,106064.55254996502,-3.4765950920295774
2025-11-28,97092.90695546873,106013.56834218907,-3.595705079053846
2025-12-01,97039.46757863768,105903.52400283873,-3.648765447786817
2025-12-02,96844.81726430662,105322.73706807142,-3.842035243672448
2025-12-03,96507.68867849119,105135.82131315311,-4.176772812382157
2025-12-04,96136.29482302244,105329.01131806742,-4.545532631169513
2025-12-05,96430.85013598631,105946.81158656423,-4.253066392883698
2025-12-08,95348.48450742186,105032.857235763,-5.327755559583391
2025-12-09,95547.48331723631,104543.7107004963,-5.1301681090493485
2025-12-10,94893.66282258299,104213.36432633716,-5.779351512537579
2025-12-11,94847.75284943846,104782.01366917271,-5.824935878374604
2025-12-12,95257.86347565916,105382.41356173606,-5.417733879792697
2025-12-15,95029.61166325682,105302.91865624531,-5.644366861841199
2025-12-16,94796.97170964353,104626.4454580001,-5.875356863086257
2025-12-17,94597.32146003416,104458.34455099168,-6.073591133208689
2025-12-18,94821.53308417967,104446.20695905988,-5.850969685189411
2025-12-19,95625.81198432615,105056.52395961438,-5.052394972373597
2025-12-22,96064.58930119628,105889.97193893052,-4.616729595915469
2025-12-23,96525.45912846678,105909.18979282254,-4.15912839577085
2025-12-24,96782.21689228513,105767.37909958822,-3.9041916350686656
