"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ACC",10,1864,1863.25,18640,18632.5,-7.5,-0.04,-0.37,""
"AUBANK",20,729.5,951.75,14590,19035,4445,30.47,0.82,""
"AXISBANK",42,1221.29,1288.7,51294,54125.4,2831.4,5.52,1.77,""
"BANKBARODA",64,232.4,288.95,14873.6,18492.8,3619.2,24.33,0.54,""
"BANKINDIA",113,111.89,149.44,12643.57,16886.72,4243.15,33.56,1.51,""
"CANBK",261,123.82,151.22,32316.27,39468.42,7152.15,22.13,1.7,""
"CUB",220,231.8,278.93,50995.01,61364.6,10369.59,20.33,1.87,""
"FEDERALBNK",214,235.35,256.52,50364.7,54895.28,4530.58,9,0.21,""
"GICRE",148,380.41,389.95,56300.35,57712.6,1412.25,2.51,2.04,""
"GPPL",91,176,179.9,16016,16370.9,354.9,2.22,0.59,""
"HDFCBANK",23,999.65,1002.45,22991.95,23056.35,64.4,0.28,1.27,""
"ICICIBANK",39,1377.03,1370.4,53704,53445.6,-258.4,-0.48,0.91,""
"IDBI",409,100.38,102.25,41057.2,41820.25,763.05,1.86,0.99,""
"INDIANB",42,773.39,885.85,32482.2,37205.7,4723.5,14.54,1.46,""
"INDUSTOWER",86,376.6,405.6,32387.6,34881.6,2494,7.7,0.5,""
"KARURVYSYA",183,241.31,251.45,44159.56,46015.35,1855.79,4.2,1.41,""
"LICI",18,916,898.1,16488,16165.8,-322.2,-1.95,0.05,""
"MAHABANK",854,54.88,60.08,46863.6,51308.32,4444.72,9.48,0.79,""
"MAHSEAMLES",28,565,577.5,15820,16170,350,2.21,-1.28,""
"MUTHOOTFIN",3,3384.1,3702,10152.3,11106,953.7,9.39,0.55,""
"NATIONALUM",164,263.36,258.34,43190.92,42367.76,-823.16,-1.91,1.72,""
"PNB",345,107.12,125.3,36955.1,43228.5,6273.4,16.98,1.83,""
"SBIN",42,852.09,990,35787.6,41580,5792.4,16.19,0.65,""
"UJJIVANSFB",874,48.77,55.62,42622.92,48611.88,5988.96,14.05,3.27,""
"UNIONBANK",309,145.75,156.04,45037.29,48216.36,3179.07,7.06,2.09,""
