"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ASIANPAINT",13,2971,2793.7,38623,36318.1,-2304.9,-5.97,-4.6,""
"NATIONALUM",164,263.36,265.5,43190.92,43542,351.08,0.81,-1.1,""
"ICICIBANK",73,1381.48,1375,100848.4,100375,-473.4,-0.47,-1.05,""
"MUTHOOTFIN",27,3699.34,3745,99882.3,101115,1232.7,1.23,-0.81,""
"HDFCBANK",23,999.65,996.85,22991.95,22927.55,-64.4,-0.28,-0.62,""
"CUB",220,231.8,264,50995.01,58080,7084.99,13.89,-0.38,""
"KOTAKBANK",17,2147.9,2129.55,36514.3,36202.35,-311.95,-0.85,-0.1,""
"AXISBANK",80,1245.23,1273.1,99618.6,101848,2229.4,2.24,-0.05,""
"INDUSTOWER",86,376.6,403.3,32387.6,34683.8,2296.2,7.09,0.07,""
"KARURVYSYA",183,241.31,242.6,44159.56,44395.8,236.24,0.53,0.12,""
"SBIN",52,878.61,960.5,45687.6,49946,4258.4,9.32,0.43,""
"GICRE",148,380.41,378.4,56300.35,56003.2,-297.15,-0.53,0.6,""
"UJJIVANSFB",874,48.77,52.42,42622.92,45815.08,3192.16,7.49,0.85,""
"FEDERALBNK",214,235.35,260.65,50364.7,55779.1,5414.4,10.75,1.24,""
"UNIONBANK",309,145.75,150.44,45037.29,46485.96,1448.67,3.22,1.4,""
"PNB",345,107.12,117.7,36955.1,40606.5,3651.4,9.88,1.47,""
"CANBK",261,123.82,146.05,32316.27,38119.05,5802.78,17.96,2.24,""
"GPPL",91,176,189.2,16016,17217.2,1201.2,7.5,3.88,""
