"Time","Type","Instrument","Product","Qty.","Avg. price","Status",""
"2025-10-06 11:44:34","SELL","ETERNAL","CNC","14/14",333.4,"COMPLETE",""
"2025-10-06 11:43:40","BUY","BAJAJHLDNG","CNC","1/1",11866.2,"COMPLETE",""
"2025-10-06 11:43:02","SELL","MOTILALOFS","CNC","2/2",933.05,"COMPLETE",""
"2025-10-06 11:42:33","SELL","UJJIVANSFB","CNC","102/102",48.68,"COMPLETE",""
"2025-10-06 11:42:05","SELL","HDFCBANK","CNC","5/5",975,"COMPLETE",""
"2025-10-06 11:41:26","SELL","KOTAKBANK","CNC","2/2",2138.55,"COMPLETE",""
"2025-10-06 11:40:56","SELL","AXISBANK","CNC","2/2",1207,"COMPLETE",""
"2025-10-06 11:40:38","SELL","BANKBARODA","CNC","10/10",265.75,"COMPLETE",""
"2025-10-06 11:40:25","SELL","BANKINDIA","CNC","17/17",125.1,"COMPLETE",""
"2025-10-06 11:40:06","SELL","CANBK","CNC","31/31",126.39,"COMPLETE",""
"2025-10-06 11:39:23","SELL","CUB","CNC","11/11",219.95,"COMPLETE",""
"2025-10-06 11:38:53","SELL","INDIANB","CNC","3/3",764.75,"COMPLETE",""
