"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"IDFCFIRSTB",0,75.59,70.7,0,0,0,-6.47,-0.32,""
"IOB",412,40.82,39.64,16817.84,16331.68,-486.16,-2.89,-0.48,""
"FEDERALBNK",85,198.48,194.97,16870.7,16572.45,-298.25,-1.77,-0.02,""
"KARURVYSYA",81,216.31,214,17521.11,17334,-187.11,-1.07,0.54,""
"IDBI",190,94.12,93.5,17882.8,17765,-117.8,-0.66,0.31,""
"J&KBANK",180,105.6,105.08,19008,18914.4,-93.6,-0.49,0.77,""
"ICICIBANK",18,1401.75,1397.6,25231.5,25156.8,-74.7,-0.3,-0.28,""
"GICRE",60,365.2,364.7,21912,21882,-30,-0.14,0.36,""
"DRREDDY",10,1310.7,1310.4,13107,13104,-3,-0.02,0.68,""
"YESBANK",550,21.11,21.38,11610.5,11759,148.5,1.28,0.8,""
"LICHSGFIN",22,575.5,583,12661,12826,165,1.3,-0.75,""
"NESTLEIND",14,1152.53,1173.6,16135.4,16430.4,295,1.83,-1.24,""
"UNIONBANK",100,136.8,140.83,13680,14083,403,2.95,1.46,""
"INDIANB",39,676.6,697.45,26387.4,27200.55,813.15,3.08,-1.01,""
"MUTHOOTFIN",4,2936,3054,11744,12216,472,4.02,0.19,""
"CUB",100,195.09,205.3,19509,20530,1021,5.23,-0.51,""
"MAHABANK",685,54.25,57.22,37163,39195.7,2032.7,5.47,-0.07,""
"PFC",50,392,413.5,19600,20675,1075,5.48,1.11,""
"PNB",345,107.12,113.63,36955.1,39202.35,2247.25,6.08,0.52,""
"RECLTD",60,364.25,387.55,21855,23253,1398,6.4,0.92,""
"SBIN",60,809.25,873,48555,52380,3825,7.88,2.08,""
"CENTRALBK",500,35.1,38.01,17550,19005,1455,8.29,0.4,""
"UCOBANK",600,28.33,30.72,16998,18432,1434,8.44,0.07,""
"BANKINDIA",180,111.89,121.5,20140.2,21870,1729.8,8.59,0.8,""
"BANKBARODA",100,232.4,253.61,23240,25361,2121,9.13,0.98,""
"CANBK",320,111.04,121.59,35532,38908.8,3376.8,9.5,2.29,""
"HINDUNILVR",11,2289.59,2525,25185.5,27775,2589.5,10.28,-1.84,""
"KOTAKBANK",14,1811.91,2046.5,25366.75,28651,3284.25,12.95,1.23,""
"MOTILALOFS",13,836.88,958,10879.4,12454,1574.6,14.47,0.8,""
"AXISBANK",28,1000.22,1167.5,28006.05,32690,4683.95,16.72,2.02,""
"HDFCBANK",36,794.44,959.95,28600,34558.2,5958.2,20.83,-0.44,""
"UJJIVANSFB",313,36.45,45.13,11409.29,14125.69,2716.4,23.81,0.76,""
"ETERNAL",43,208.1,338.5,8948.4,14555.5,5607.1,62.66,-0.98,""
