"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"HDFCBANK",26,794.44,973.45,20655.44,25309.7,4654.26,22.53,0.86,""
"AXISBANK",24,1000.22,1212.5,24005.28,29100,5094.72,21.22,2.61,""
"CANBK",258,111.04,126.76,28648.32,32704.08,4055.76,14.16,0.68,""
"KOTAKBANK",10,1811.91,2140.7,18119.1,21407,3287.9,18.15,1.89,""
"SBIN",60,809.25,874.05,48555,52443,3888,8.01,0.78,""
"ETERNAL",15,208.1,335.1,3121.5,5026.5,1905,61.03,2.02,""
"BANKBARODA",80,232.4,266.5,18592,21320,2728,14.67,0.97,""
"INDIANB",33,676.6,757.8,22327.8,25007.4,2679.6,12,-1.07,""
"HINDUNILVR",11,2289.59,2541.8,25185.5,27959.8,2774.3,11.02,-0.12,""
"UJJIVANSFB",109,36.45,48.89,3973.05,5329.01,1355.96,34.12,1.14,""
"PNB",345,107.12,114.55,36955.1,39519.75,2564.65,6.94,0.09,""
"BANKINDIA",146,111.89,126.04,16335.94,18401.84,2065.9,12.65,0.41,""
"MAHABANK",685,54.25,57.19,37163,39175.15,2012.15,5.41,1.24,""
"CUB",78,195.09,216.95,15217.02,16922.1,1705.08,11.21,0.7,""
"UCOBANK",600,28.33,31.31,16998,18786,1788,10.52,1.72,""
"CENTRALBK",500,35.1,37.77,17550,18885,1335,7.61,-0.08,""
"MUTHOOTFIN",4,2936,3220,11744,12880,1136,9.67,1.58,""
"MOTILALOFS",9,836.88,935.25,7531.92,8417.25,885.33,11.75,2.66,""
"GICRE",60,365.2,381.05,21912,22863,951,4.34,4.14,""
"AUBANK",28,729.5,762.95,20426,21362.6,936.6,4.59,2.84,""
"RECLTD",60,364.25,378.05,21855,22683,828,3.79,-0.6,""
"PFC",50,392,405.8,19600,20290,690,3.52,-1.59,""
"YESBANK",550,21.11,21.93,11610.5,12061.5,451,3.88,0.37,""
"NESTLEIND",14,1152.53,1181.7,16135.4,16543.8,408.4,2.53,1.01,""
"KARURVYSYA",81,216.31,216.8,17521.11,17560.8,39.69,0.23,3.48,""
"LICHSGFIN",22,575.5,576.8,12661,12689.6,28.6,0.23,-0.35,""
"UNIONBANK",100,136.8,136.68,13680,13668,-12,-0.09,-0.75,""
"IDBI",190,94.12,92.86,17882.8,17643.4,-239.4,-1.34,0.28,""
"J&KBANK",180,105.6,104.15,19008,18747,-261,-1.37,-1.23,""
"NMDC",264,77.35,76.03,20420.4,20071.92,-348.48,-1.71,-1.45,""
"FEDERALBNK",85,198.48,193.55,16870.7,16451.75,-418.95,-2.48,0.6,""
"IOB",412,40.82,39.57,16817.84,16302.84,-515,-3.06,-0.83,""
"DRREDDY",10,1310.7,1248.5,13107,12485,-622,-4.75,0.03,""
"WIPRO",77,250.3,242.05,19273.1,18637.85,-635.25,-3.3,0.41,""
"ICICIBANK",18,1401.75,1363.4,25231.5,24541.2,-690.3,-2.74,-0.13,""
"BAJAJHLDNG",2,12563.6,11798.45,25127.2,23596.9,-1530.3,-6.09,-0.2,""
