"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"AXISBANK",20,951.7,1121.2,19034.05,22424,3389.95,17.81,1.52,""
"BAJAJ-AUTO",2,8167,9074.2,16334,18148.4,1814.4,11.11,0.53,""
"BAJFINANCE",28,0,1003.05,0,28085.4,28085.4,0,-0.69,""
"BANKBARODA",100,232.4,240.58,23240,24058,818,3.52,0.64,""
"BANKINDIA",180,111.89,117.5,20140.2,21150,1009.8,5.01,-0.42,""
"BDL",5,1599,1605,7995,8025,30,0.38,0.02,""
"BEL",22,385,402.9,8470,8863.8,393.8,4.65,1.12,""
"CAMS",6,4083.17,3890.3,24499,23341.8,-1157.2,-4.72,0.79,""
"CANBK",180,106.4,113.23,19152,20381.4,1229.4,6.42,0.64,""
"CDSL",3,1448,1549.4,4344,4648.2,304.2,7,-0.27,""
"CENTRALBK",500,35.1,36.94,17550,18470,920,5.24,0.74,""
"CIPLA",6,1506.3,1559,9037.8,9354,316.2,3.5,0.69,""
"CUB",100,195.09,204.05,19509,20405,896,4.59,-1.14,""
"DMART",2,3802,4696.2,7604,9392.4,1788.4,23.52,0.97,""
"ETERNAL",83,191.18,327.3,15867.6,27165.9,11298.3,71.2,1.24,""
"GICRE",60,365.2,369.7,21912,22182,270,1.23,-1.22,""
"HAL",2,4500,4840,9000,9680,680,7.56,0.93,""
"HDFCBANK",36,794.44,966.85,28600,34806.6,6206.6,21.7,-0.02,""
"HDFCLIFE",27,589.02,774.35,15903.6,20907.45,5003.85,31.46,-0.37,""
"HEROMOTOCO",4,3989.5,5308.65,15958,21234.6,5276.6,33.07,0.36,""
"HINDUNILVR",11,2289.59,2580.9,25185.5,28389.9,3204.4,12.72,0,""
"ICICIBANK",18,1401.75,1421.75,25231.5,25591.5,360,1.43,0.16,""
"IDFCFIRSTB",365,74.28,71.55,27112.35,26115.75,-996.6,-3.68,-0.1,""
"IEX",45,139.02,147.38,6255.9,6632.1,376.2,6.01,0.12,""
"INDIANB",27,666.2,694.85,17987.4,18760.95,773.55,4.3,-0.24,""
"INFY",5,1480,1511.3,7400,7556.5,156.5,2.11,0.19,""
"ITBEES",364,41.04,39.48,14938.56,14370.72,-567.84,-3.8,0.77,""
"JIOFIN",12,223,315.5,2676,3786,1110,41.48,0.05,""
"KOTAKBANK",14,1811.91,2021.4,25366.75,28299.6,2932.85,11.56,2.55,""
"MAHABANK",400,52.01,55.06,20804,22024,1220,5.86,0.53,""
"MOTILALOFS",4,618.35,934.4,2473.4,3737.6,1264.2,51.11,-0.67,""
"NESTLEIND",14,1152.53,1204.2,16135.4,16858.8,723.4,4.48,-0.68,""
"PFC",50,392,403.1,19600,20155,555,2.83,0.3,""
"PNB",200,103.3,108.44,20660,21688,1028,4.98,-0.06,""
"RECLTD",60,364.25,380.4,21855,22824,969,4.43,0.49,""
"SBIN",50,800,831.8,40000,41590,1590,3.97,0.84,""
"TCS",4,3478,3145.7,13912,12582.8,-1329.2,-9.55,1.09,""
"UCOBANK",600,28.33,29.88,16998,17928,930,5.47,1.49,""
"UJJIVANSFB",313,36.45,45.96,11409.29,14385.48,2976.19,26.09,-1.69,""
"WIPRO",20,252.9,254.01,5058,5080.2,22.2,0.44,1.09,""
