symbol,sector,entry_date,exit_date,holding_days,qty,entry_price,exit_price,gross_pl,entry_costs,exit_costs,tax_type,tax,net_pl,net_return_pct,entry_score,peak_score,exit_score,peak_price,exit_reason,slippage_bps
ASIANPAINT,Basic Materials,2020-01-02,2020-02-04,33,54,1792.791,1868.13,4068.31,114.94,104.63,STCG,769.75,3078.99,3.1804,183.91,183.91,84.57,1867.65,LVM_ROTATION,10.0
SBILIFE,Financial Services,2020-01-02,2020-02-04,33,100,976.6757,911.088,-6558.77,115.95,94.5,STCG,0.0,-6769.22,-6.9309,183.91,183.91,79.43,1007.8,LVM_ROTATION,10.0
HCLTECH,Technology,2020-01-02,2020-02-04,33,172,573.1225,582.417,1598.65,117.03,103.9,STCG,275.54,1102.17,1.1181,183.62,183.62,82.57,608.85,LVM_ROTATION,10.0
HDFCLIFE,Financial Services,2020-01-02,2020-02-04,33,158,623.3227,567.432,-8830.73,116.92,92.99,STCG,0.0,-9040.65,-9.1797,183.33,183.33,79.43,634.25,LVM_ROTATION,10.0
ICICIBANK,Financial Services,2020-01-02,2020-02-04,33,183,536.536,519.48,-3121.25,116.57,98.6,STCG,0.0,-3336.42,-3.3981,178.16,178.16,76.29,546.3,LVM_ROTATION,10.0
NESTLEIND,Consumer Defensive,2020-01-02,2020-03-03,61,132,743.1875,805.706,8252.44,116.47,110.31,STCG,1605.13,6420.53,6.5448,186.21,188.0,90.0,839.2525,LVM_ROTATION,10.0
COFORGE,Technology,2020-01-02,2020-03-03,61,311,316.6664,361.3583,13899.18,116.92,116.57,STCG,2733.14,10932.55,11.1009,183.62,183.62,74.29,401.82,LVM_ROTATION,10.0
IGL,Utilities,2020-01-02,2020-03-03,61,462,213.3631,217.782,2041.53,117.03,104.36,STCG,364.03,1456.11,1.4772,181.32,182.29,79.43,261.15,LVM_ROTATION,10.0
DIVISLAB,Healthcare,2020-01-02,2020-03-03,61,54,1822.3205,2122.775,16224.54,116.83,118.9,STCG,3197.76,12791.05,12.9983,174.71,178.0,80.29,2185.8501,LVM_ROTATION,10.0
PIDILITIND,Basic Materials,2020-02-04,2020-03-03,28,131,785.785,765.7834,-2620.21,122.21,104.05,STCG,0.0,-2846.47,-2.7652,183.71,183.71,87.14,796.875,LVM_ROTATION,10.0
