date,universe_n,held_pre,bought,sold,cash_pct
2016-06-03,10,0,10,0,1.6516884015828015
2016-07-01,10,6,4,0,1.8851439413043969
2016-08-01,10,6,4,0,1.783535666106649
2016-09-01,10,3,7,0,0.08429769377096996
2016-10-03,10,6,4,0,0.0775143323234979
2016-11-01,10,5,5,0,0.06001865595823882
2016-12-01,10,4,6,0,0.07827956086313712
2017-01-02,10,3,6,0,5.483319018671957
2017-02-01,10,1,8,0,8.522643839760843
2017-03-01,10,4,5,0,4.738597102952053
2017-04-03,10,6,3,0,5.950084028972193
2017-05-02,10,7,1,0,14.780841770074248
2017-06-01,10,6,2,0,14.060877491136523
2017-07-03,10,4,6,0,0.08540292355682819
2017-08-01,10,6,4,0,0.004228508287223976
2017-09-01,10,6,4,0,0.013543579933753176
2017-10-03,10,7,3,0,0.07135516575170667
2017-11-01,10,5,4,0,1.3236248777940642
2017-12-01,10,7,3,0,0.005386419516123318
2018-01-01,10,8,2,0,0.08472005130713049
2018-02-01,10,4,6,0,0.06967565585608845
2018-03-01,10,1,9,0,0.06177876231660772
2018-04-02,10,3,7,0,0.06254526940004682
2018-05-02,10,2,8,0,1.1634335236110072
2018-06-01,10,4,6,0,0.08863487767925322
2018-07-02,10,4,4,0,19.221291920400624
2018-08-01,10,3,6,0,8.59363095911379
2018-09-03,10,6,3,0,9.516598822956194
2018-10-01,10,2,7,1,9.229814473019395
2018-11-01,10,1,8,0,9.303592459711592
2018-12-03,10,1,9,0,1.7792951155029422
2019-01-01,10,7,3,0,1.0459944998501476
2019-02-01,10,7,3,0,0.07975672373075678
2019-03-01,10,4,5,0,9.49708286466981
2019-04-01,10,5,5,1,0.14848916406927606
2019-05-02,10,4,4,0,17.745521811814317
2019-06-03,10,6,4,0,0.1912798630527847
2019-07-01,10,5,5,0,0.11062981612173588
2019-08-01,10,0,10,0,1.519863859980499
2019-09-03,10,5,5,0,0.0785469685942361
2019-10-01,10,3,6,0,9.909673257916458
2019-11-01,10,5,4,0,11.042196161419119
2019-12-02,10,3,7,0,0.4411110574900019
2020-01-01,10,5,4,0,9.831679803147544
2020-02-03,10,5,5,0,0.07876540320440509
2020-03-02,10,3,7,0,0.0758073056180528
2020-04-01,3,0,3,0,71.04930719908454
2020-05-04,10,0,10,0,1.673134451281775
2020-06-01,10,1,9,0,2.915781783093465
2020-07-01,10,4,6,1,1.0549736414441941
2020-08-03,10,5,4,0,9.875022210499026
2020-09-01,10,6,3,0,9.28431779178434
2020-10-01,10,6,3,0,7.29201035505295
2020-11-02,10,4,5,0,6.111876336571685
2020-12-01,10,3,7,0,1.9959058562159342
2021-01-01,10,5,5,0,0.28914641804233776
2021-02-01,10,5,4,0,8.21143095328547
2021-03-01,10,1,8,0,9.593993587391083
2021-04-01,10,2,8,0,1.0702098009320042
2021-05-03,10,3,7,0,1.2094554797051171
2021-06-01,10,3,7,0,1.775607646302782
2021-07-01,10,9,1,0,0.9316933221244204
2021-08-02,10,3,6,0,9.692540418747274
2021-09-01,10,2,8,0,2.0263633204616944
2021-10-01,10,4,6,0,1.4754729617226081
2021-11-01,10,5,5,0,0.09005331774784894
2021-12-01,10,0,10,0,1.5034893701706848
2022-01-03,10,0,10,0,1.777070724503045
2022-02-01,10,2,7,0,12.055617203359773
