symbol,sector,entry_date,exit_date,holding_days,qty,entry_price,exit_price,gross_pl,entry_costs,exit_costs,tax_type,tax,net_pl,net_return_pct,entry_score,peak_score,exit_score,peak_price,exit_reason,slippage_bps
CHOLAFIN,Financial Services,2016-06-04,2016-07-02,28,485,203.203,197.802,-2619.49,117.01,99.51,STCG,0.0,-2836.0,-2.8776,183.44,183.44,81.79,203.203,LVM_ROTATION,10.0
INFY,Technology,2016-06-04,2016-07-02,28,155,633.0825,587.5119,-7063.44,116.5,94.45,STCG,0.0,-7274.4,-7.4132,183.44,183.44,74.83,633.375,LVM_ROTATION,10.0
PETRONET,Energy,2016-06-04,2016-07-02,28,730,134.8847,149.85,10924.67,116.9,113.46,STCG,2138.86,8555.44,8.6887,180.46,180.46,80.46,149.275,LVM_ROTATION,10.0
MARICO,Consumer Defensive,2016-06-04,2016-07-02,28,386,255.255,269.1306,5355.98,116.98,107.75,STCG,1026.25,4105.0,4.1663,178.48,178.48,79.14,268.25,LVM_ROTATION,10.0
BIOCON,Healthcare,2016-06-04,2016-08-02,59,839,117.4507,138.5113,17669.84,116.99,120.54,STCG,3486.46,13945.85,14.1523,188.74,188.74,78.15,138.1917,LVM_ROTATION,10.0
DIVISLAB,Healthcare,2016-06-04,2016-08-02,59,86,1142.141,1175.823,2896.65,116.61,104.89,STCG,535.03,2140.12,2.1788,183.11,183.11,72.85,1204.65,LVM_ROTATION,10.0
HEROMOTOCO,Consumer Cyclical,2016-07-02,2016-08-02,31,31,3193.1399,3221.675,884.59,117.52,103.59,STCG,132.7,530.78,0.5362,184.44,184.44,79.8,3280.05,LVM_ROTATION,10.0
NHPC,Utilities,2016-07-02,2016-08-02,31,3982,24.975,25.0749,397.8,118.07,103.57,STCG,35.23,140.93,0.1417,173.18,173.18,75.5,25.75,LVM_ROTATION,10.0
INDUSINDBK,Financial Services,2016-06-04,2016-09-02,90,87,1126.0749,1183.5153,4997.31,116.31,106.8,STCG,954.84,3819.36,3.8986,190.73,190.73,81.79,1200.55,LVM_ROTATION,10.0
PIDILITIND,Basic Materials,2016-06-04,2016-09-02,90,277,354.8545,348.651,-1718.37,116.7,100.17,STCG,0.0,-1935.24,-1.9688,190.4,190.4,79.47,375.8,LVM_ROTATION,10.0
ASIANPAINT,Basic Materials,2016-06-04,2016-09-02,90,96,1018.1171,1157.791,13408.69,116.04,115.29,STCG,2635.47,10541.9,10.7857,188.08,188.08,81.46,1157.9,LVM_ROTATION,10.0
GRASIM,Basic Materials,2016-07-02,2016-09-02,62,138,717.9179,713.4006,-623.39,117.62,102.11,STCG,0.0,-843.12,-0.851,193.38,193.38,83.11,815.6616,LVM_ROTATION,10.0
ASTRAL,Industrials,2016-07-02,2016-09-02,62,453,219.3242,217.7845,-697.48,117.96,102.33,STCG,0.0,-917.77,-0.9237,180.79,180.79,61.92,233.9101,LVM_ROTATION,10.0
BAJAJHLDNG,Financial Services,2016-08-02,2016-09-02,31,56,1851.6498,1827.171,-1370.81,123.11,106.13,STCG,0.0,-1600.05,-1.5431,182.78,182.78,64.9,1851.6498,LVM_ROTATION,10.0
TITAN,Consumer Cyclical,2016-08-02,2016-09-02,31,246,423.373,415.3842,-1965.24,123.65,105.99,STCG,0.0,-2194.88,-2.1074,173.51,173.51,64.9,423.45,LVM_ROTATION,10.0
NHPC,Utilities,2016-09-02,2016-09-30,28,3792,27.7277,24.4755,-12332.34,118.48,96.27,STCG,0.0,-12547.09,-11.9333,177.15,177.15,177.15,28.0,LVM_STOP: -12.2% <= -10%,10.0
SUPREMEIND,Industrials,2016-06-04,2016-10-04,122,109,898.3975,923.076,2689.96,116.26,104.36,STCG,493.87,1975.47,2.0173,179.8,186.09,77.48,1009.85,LVM_ROTATION,10.0
MARICO,Consumer Defensive,2016-08-02,2016-10-04,63,360,289.239,282.4173,-2455.81,116.11,105.45,STCG,0.0,-2677.37,-2.5713,185.43,185.43,79.14,300.85,LVM_ROTATION,10.0
ULTRACEMCO,Basic Materials,2016-09-02,2016-10-04,32,25,4096.092,3928.5675,-4188.11,121.57,101.87,STCG,0.0,-4411.56,-4.3081,181.46,181.46,78.81,4115.3501,LVM_ROTATION,10.0
TRENT,Consumer Cyclical,2016-09-02,2016-10-28,56,477,220.0899,194.855,-12037.05,124.64,96.41,STCG,0.0,-12258.09,-11.6763,179.14,179.14,177.48,241.45,LVM_STOP: -10.1% <= -10%,10.0
