,equity,benchmark,drawdown_pct
2016-06-03,996868.1250181154,1000000.0,0.0
2016-06-06,999384.2088193849,997597.5573582588,0.0
2016-06-07,1002404.2444181398,1005553.0351923874,0.0
2016-06-08,1001708.0977811769,1006355.8292673916,-0.06944769446451948
2016-06-09,987648.1465482668,997907.7223967073,-1.472070569537387
2016-06-10,983148.3590650514,993826.6347307153,-1.9209700537796248
2016-06-13,979502.4333295778,986595.0139099101,-2.28468816010009
2016-06-14,979294.8683729128,986382.1392454519,-2.3053948717706385
2016-06-15,981786.7674970583,998272.6503929213,-2.0568026358516955
2016-06-16,979018.1247663454,990262.5283926929,-2.333002856085198
2016-06-17,979409.6783475832,993844.9286471922,-2.293941411222189
2016-06-20,986148.9960126833,1002153.098935995,-1.621626055154235
2016-06-21,980405.6420545534,999890.5928761351,-2.194583920218318
2016-06-22,982074.3511915163,997919.957938247,-2.0281132427191872
2016-06-23,983266.2611722902,1006039.6058540058,-1.9092081216155021
2016-06-24,979188.2827329591,983918.8752710083,-2.3160278714359106
2016-06-27,987218.2590513185,984660.9074091432,-1.5149562116665072
2016-06-28,986505.834322925,988693.3498881399,-1.5860278110098491
2016-06-29,995035.2468442873,997956.4269795354,-0.7351323196092441
2016-06-30,999705.7848157838,1008144.0002071727,-0.2691987406659768
2016-07-01,1007239.8655596437,1013082.6449059342,0.0
2016-07-04,1006633.6566897096,1018234.2830608193,-0.06018515456566176
2016-07-05,998341.15025813,1014007.2004380088,-0.8834752878421281
2016-07-07,993312.6695452394,1014244.4273938807,-1.3827089743579601
2016-07-08,999984.7220698061,1012456.2564540998,-0.7202994776032368
2016-07-11,1007695.6918421449,1030057.9738964819,0.0
2016-07-12,1008832.3995829286,1036523.2102877385,0.0
2016-07-13,1001750.8956041994,1036334.6879146942,-0.701950490652048
2016-07-14,1006152.9576388063,1041869.4291906047,-0.26559832388710625
2016-07-15,1011908.6795244875,1038998.7098037216,0.0
2016-07-18,1011750.9180346193,1035020.9708866574,-0.015590486874994536
2016-07-19,1012114.1735659303,1037435.5302782729,0.0
2016-07-20,1027067.1063166322,1041972.7779395324,0.0
2016-07-21,1030555.6488123598,1035191.1993432245,0.0
2016-07-22,1045592.6018648805,1038974.3575123076,0.0
2016-07-25,1053282.1092272461,1050463.5310181077,0.0
2016-07-26,1048191.8601999941,1044989.6110748996,-0.4832749918240453
2016-07-27,1051144.1366587342,1048048.8528348265,-0.2029819503988839
2016-07-28,1060034.950924939,1054191.80743776,0.0
2016-07-29,1059150.2791720093,1050810.1650978446,-0.08345684754618166
2016-08-01,1055983.5364051515,1050572.9381419723,-0.38219631496607676
2016-08-02,1055903.3690314943,1048912.5870341987,-0.38975902538305185
2016-08-03,1049121.862142151,1039418.2819660354,-1.0295027322698935
2016-08-04,1050191.944829529,1040178.5486248143,-0.9285548638581664
2016-08-05,1064837.8080192262,1056241.5576248271,0.0
2016-08-08,1073762.555715149,1059671.7857559053,0.0
2016-08-09,1064680.4228797609,1055645.4610476785,-0.8458232024434187
2016-08-10,1037939.4699760133,1043122.3248859391,-3.33622042866607
2016-08-11,1041842.5344520265,1045172.0750730064,-2.9727262413116184
2016-08-16,1040095.8469062501,1051302.7941344,-3.135396054714923
2016-08-17,1040460.1371741944,1049052.4048244145,-3.101469534740342
2016-08-18,1047076.7596793824,1055037.2477206553,-2.4852604417736734
2016-08-19,1051215.5840125734,1054264.864312002,-2.0998098306341917
2016-08-22,1054279.4679542237,1049672.8536929777,-1.8144689118861246
2016-08-23,1059105.617208069,1050092.425855291,-1.3650074151932312
2016-08-24,1058497.334584778,1052245.524791286,-1.42165705528855
2016-08-25,1047565.9954429322,1045178.1334479435,-2.4396976904050516
2016-08-26,1050387.8062034303,1042787.8075560766,-2.1769011582035147
2016-08-29,1041452.4449592286,1047033.184095364,-3.0090554549465742
2016-08-30,1056628.529279297,1063685.9937142578,-1.5956997517426408
2016-08-31,1068612.784963196,1068776.8105364407,-0.4796005154531824
2016-09-01,1063474.4082510131,1067371.8615093504,-0.9581398987491996
2016-09-02,1062243.0581075805,1071629.354798512,-1.0728161031743455
2016-09-06,1074072.0159170288,1087850.3567135525,0.0
2016-09-07,1062302.4005224365,1084803.2317034998,-1.0957938778940801
2016-09-08,1065847.5070974487,1089005.9620348965,-0.765731598784658
2016-09-09,1051059.196886267,1078569.045101513,-2.1425769119507
2016-09-12,1030002.6806661744,1060188.7670838747,-4.103014937339056
2016-09-14,1043479.7776891846,1061526.8364033257,-2.848248327345615
2016-09-15,1035870.6461050172,1063467.0606748627,-3.556686073735549
2016-09-16,1037889.4540502686,1068004.308336122,-3.3687277324572995
2016-09-19,1039201.1028768677,1071477.3014667563,-3.246608469767154
2016-09-20,1029557.9672948975,1067523.914841106,-4.144419365039109
2016-09-21,1024501.0807821412,1067675.9681728617,-4.615233839098265
2016-09-22,1032696.5968496461,1078660.2771005663,-3.8522015706793034
2016-09-23,1032496.949068274,1074293.257895874,-3.8707895031841577
2016-09-26,1025656.9680654664,1061095.0286994725,-4.507616540984571
2016-09-27,1029450.8680975098,1059069.7495954847,-4.154390688730681
2016-09-28,1038929.8724691529,1063783.4028799138,-3.2718610043919627
2016-09-29,1013326.8098368043,1045062.549157476,-5.655598989641398
2016-09-30,1024934.4088358277,1047483.2857156942,-4.574889425756801
2016-10-03,1045409.2497606202,1062925.7270554788,-2.668607479912477
2016-10-04,1064220.738636963,1066702.8268496247,-0.9171896422284886
2016-10-05,1066788.0159654543,1063637.4079230952,-0.6781668122463391
2016-10-06,1079503.9429368898,1059452.85271651,0.0
2016-10-07,1073221.7355699465,1057999.1991065915,-0.5819531654374543
2016-10-10,1074984.8301286623,1059361.6207174566,-0.41862865233570634
2016-10-13,1069895.4395341799,1042885.097930067,-0.890085067829316
2016-10-14,1077300.099171631,1044107.7017507158,-0.20415337801018563
2016-10-17,1064186.0493898317,1036444.2138302246,-1.4189752290653446
2016-10-18,1069488.5423860475,1055602.933631453,-0.9277780425326121
2016-10-19,1064047.8636064455,1053315.9564885136,-1.4317760885981246
2016-10-20,1061697.737339966,1058218.2509376523,-1.6494803667395974
2016-10-21,1064899.748364441,1057445.7487373336,-1.3528616238970503
2016-10-24,1060613.831746094,1059379.9146339332,-1.749888114294762
2016-10-25,1059498.534466736,1057232.8740728756,-1.8532038350621671
2016-10-26,1049326.8019380495,1047981.9731271871,-2.7954637124104065
2016-10-27,1030440.5183083619,1047981.9731271871,-4.5449972600420825
2016-10-28,1044541.4710541382,1050749.3437651424,-3.238753513732706
2016-11-01,1045581.3946194518,1049320.0424466378,-3.142420047595984
2016-11-02,1022770.0217842925,1035665.6532549688,-5.255554787344963
2016-11-03,1008182.7313561309,1032131.9575832976,-6.606850493451932
2016-11-04,998906.4797539581,1025903.8293562477,-7.4661573688799105
2016-11-07,1000226.643269049,1033603.7863180274,-7.343863835472398
2016-11-08,999238.6500378449,1039260.1702593425,-7.435386727784965
2016-11-09,985581.257815448,1025690.9546917896,-8.70054118245428
2016-11-10,1006842.1347227966,1037094.9545734731,-6.731036851649663
2016-11-11,972517.95250961,1009184.0212380491,-9.910662311822094
2016-11-15,951546.2853495758,986333.4940584567,-11.853375656896025
2016-11-16,948761.4864146393,986716.6565753147,-12.11134589898335
2016-11-17,954378.2613188904,982866.6780944249,-11.591035163575548
2016-11-18,971594.7297522705,982155.0566226413,-9.996185182153427
2016-11-21,956232.3336283844,964516.8701389708,-11.419282913699568
2016-11-22,967607.8659426849,973421.0776090897,-10.36550887343508
2016-11-23,971103.8423354309,977192.000236633,-10.041658607243853
2016-11-24,970220.0651194733,968944.6512805325,-10.123527434286128
2016-11-25,975979.5831248444,987045.0561344075,-9.589993671574549
2016-11-28,985003.6397769134,988577.7655976723,-8.754048910917323
2016-11-29,978099.021946637,990432.8162450928,-9.393659157406265
2016-11-30,990586.7243544739,1000450.1016203302,-8.236859083673975
2016-12-01,980281.0485122558,996606.2409102102,-9.191526818761686
2016-12-02,963510.2806899901,983699.8828357804,-10.74508926121458
