symbol,sector,qty,avg_cost,last_mark,unrealized_pl_pct,entry_date,entry_score,peak_score,last_score
GMRAIRPORT,Industrials,11,86.9469,96.9,11.4473,2026-03-31,62.54,62.54,41.45
MOTILALOFS,Financial Services,3,812.5617,870.3,7.1057,2026-04-21,66.78,66.78,48.3
M&MFIN,Financial Services,22,319.5192,308.55,-3.433,2026-04-28,68.17,68.17,48.36
PAYTM,Technology,8,1126.7757,1097.4,-2.6071,2026-04-28,67.29,67.29,46.83
HINDZINC,Basic Materials,4,629.629,634.5,0.7736,2026-04-28,66.33,66.33,42.95
VEDL,Basic Materials,32,297.247,332.5,11.8598,2026-05-05,68.59,68.59,51.79
AMBUJACEM,Basic Materials,21,439.439,441.95,0.5714,2026-05-05,64.59,64.59,44.63
HYUNDAI,Consumer Cyclical,4,1905.4035,1880.9,-1.286,2026-05-12,65.1,65.1,46.92
ICICIPRULI,Financial Services,18,515.9154,526.7,2.0904,2026-05-19,60.04,60.04,46.81
NAUKRI,Communication Services,10,939.4385,939.4385,0.0,2026-05-26,60.96,60.96,60.96
