symbol,sector,entry_date,exit_date,holding_days,qty,entry_price,exit_price,gross_pl,entry_costs,exit_costs,tax_type,tax,net_pl,net_return_pct,entry_score,peak_score,exit_score,peak_price,exit_reason,slippage_bps
ADANIPOWER,Utilities,2026-03-17,2026-04-10,24,2,156.156,173.4264,34.54,0.37,0.36,STCG,6.76,27.05,8.6606,63.8,64.72,64.72,172.33,MOMENTUM EXHAUSTION: ⚪ RSI elevated: 71 | 📉 Volume declining on rally | 🕯️ Upper wicks: 6 rejections,10.0
IRB,Industrials,2026-03-31,2026-04-10,10,71,22.2222,21.4785,-52.8,1.87,1.58,STCG,0.0,-56.26,-3.5656,61.08,61.08,52.26,22.2222,"MOMENTUM EXHAUSTION: 🕯️ Upper wicks: 3 rejections | ⚠️ Bearish divergence (price up, RSI down)",10.0
ADANIPOWER,Utilities,2026-03-17,2026-04-11,25,1,156.156,171.828,15.67,0.19,0.18,STCG,3.06,12.25,7.8426,63.8,64.72,64.72,175.81,MOMENTUM EXHAUSTION: ⚠️ RSI overbought: 76 | 📉 Volume declining on rally | 🕯️ Upper wicks: 5 rejections,10.0
ADANIENSOL,Utilities,2026-03-24,2026-04-11,18,2,971.0701,1118.88,295.62,2.31,2.32,STCG,58.2,232.79,11.9865,61.16,61.16,46.35,1157.9,scale_out_20: profit 19.2% AND score dropped 14.8pts (peak 61.2 -> 46.3),10.0
ATGL,Utilities,2026-03-17,2026-04-14,28,4,526.2257,584.415,232.76,2.5,2.42,STCG,45.57,182.27,8.6592,59.13,59.13,50.77,581.05,"MOMENTUM EXHAUSTION: 📉 Volume declining on rally | ⚠️ Bearish divergence (price up, RSI down)",10.0
ADANIENSOL,Utilities,2026-03-24,2026-04-14,21,3,971.0701,1193.805,668.2,3.46,3.71,STCG,132.21,528.83,18.1527,61.16,61.16,58.62,1175.3,MOMENTUM EXHAUSTION: 🕯️ Upper wicks: 3 rejections | 📈 Strong rally: +18.6% in 5 days | 📏 Extended: 16.4% above 20-MA,10.0
ADANIENSOL,Utilities,2026-03-24,2026-04-16,23,2,971.0701,1180.9679,419.8,2.31,2.45,STCG,83.01,332.03,17.0962,61.16,61.16,58.62,1175.3,MOMENTUM EXHAUSTION: 🕯️ Upper wicks: 3 rejections | 📈 Strong rally: +18.7% in 5 days,10.0
OLAELEC,Consumer Cyclical,2026-04-14,2026-04-16,2,236,39.1791,38.6613,-122.2,9.49,9.46,STCG,0.0,-141.15,-1.5266,67.43,67.43,67.43,39.1791,MOMENTUM EXHAUSTION: ⚠️ RSI overbought: 77 | 🕯️ Upper wicks: 4 rejections | 🚀 Parabolic: +33.9% in 5 days | 📏 Extended: 38.3% above 20-MA,10.0
BSE,Financial Services,2026-02-17,2026-04-17,59,2,2812.7098,3451.545,1277.67,6.77,7.16,STCG,252.75,1010.99,17.9719,56.74,56.74,54.73,3446.7,MOMENTUM EXHAUSTION: ⚠️ RSI overbought: 80 | 📉 Volume declining on rally | 📏 Extended: 15.1% above 20-MA,10.0
TIINDIA,Industrials,2026-03-17,2026-04-17,31,2,2444.9425,2747.25,604.61,6.23,5.7,STCG,118.54,474.15,9.6965,57.0,57.0,44.8,2755.0,MOMENTUM EXHAUSTION: ⚪ RSI elevated: 71 | 📉 Volume declining on rally | 🕯️ Upper wicks: 5 rejections,10.0
