date,universe_n,held_pre,bought,sold,cash_pct,event,out,in,out_score,in_score
2025-12-01,199.0,0.0,10.0,0.0,7.687629199021197,,,,,
2025-12-08,199.0,8.0,2.0,1.0,28.689882914031184,,,,,
2025-12-15,199.0,8.0,2.0,0.0,23.09418083494163,,,,,
2025-12-22,199.0,7.0,3.0,1.0,20.914481909779333,,,,,
2025-12-29,199.0,9.0,1.0,1.0,27.68830260552388,,,,,
2026-01-05,199.0,8.0,2.0,2.0,31.262740768616563,,,,,
2026-01-12,199.0,8.0,2.0,0.0,36.123444179452534,,,,,
2026-01-19,199.0,7.0,3.0,1.0,18.17649409224784,,,,,
2026-01-27,199.0,5.0,5.0,0.0,20.49055614811887,,,,,
2026-02-02,,,,,,rotation,TATATECH,BDL,44.92394361551352,65.81737717022335
2026-02-02,199.0,10.0,0.0,1.0,29.75931584462718,,,,,
2026-02-09,,,,,,rotation,WIPRO,KALYANKJIL,41.81245556941183,70.81267057608613
2026-02-09,199.0,10.0,0.0,3.0,45.137649271225435,,,,,
2026-02-16,199.0,5.0,5.0,2.0,27.707756006047536,,,,,
2026-02-23,199.0,7.0,3.0,0.0,16.191094397537437,,,,,
2026-03-02,199.0,8.0,2.0,0.0,25.162401872452467,,,,,
2026-03-09,199.0,7.0,3.0,1.0,9.8260190412956,,,,,
2026-03-16,199.0,6.0,4.0,2.0,6.831610909158996,,,,,
2026-03-23,199.0,6.0,4.0,4.0,7.225086610917201,,,,,
2026-03-30,199.0,6.0,4.0,3.0,11.938081212434195,,,,,
2026-04-06,199.0,9.0,1.0,1.0,15.169966837795107,,,,,
2026-04-13,199.0,8.0,2.0,2.0,16.027598512359393,,,,,
2026-04-20,199.0,5.0,5.0,2.0,32.67199644956104,,,,,
2026-04-27,199.0,4.0,6.0,1.0,33.05474279659087,,,,,
2026-05-04,199.0,7.0,3.0,3.0,37.837048362681195,,,,,
2026-05-11,199.0,8.0,2.0,4.0,29.588403997860535,,,,,
2026-05-18,199.0,9.0,1.0,1.0,32.88519337189685,,,,,
2026-05-25,,,,,,rotation,EXIDEIND,NAUKRI,40.635473115500986,60.96259522243133
2026-05-25,200.0,10.0,0.0,0.0,30.022993645058378,,,,,
